File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023002000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-02,23.0,0.2179088,0.4032393,"(0.2179088,0.4032393)",0.2862324,0.0459949,0.0021155,0.3042361,0.3525487,0.277131,0.2179088,0.2536155
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023004000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-04,22.0,0.2191411,0.3844196,"(0.2191411,0.3844196)",0.2837576,0.0462602,0.00214,0.3204256,0.3844196,0.2707681,0.2191411,0.2443666
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023007000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-07,23.0,0.2220705,0.4203323,"(0.2220705,0.4203323)",0.3088287,0.05143,0.002645,0.3531828,0.4203323,0.2955807,0.2220705,0.2690331
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023008000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-08,13.0,0.2384793,0.459765,"(0.2384793,0.459765)",0.3339757,0.0604916,0.0036592,0.3691758,0.459765,0.3255895,0.2384793,0.2905018
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023010000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-10,23.0,0.2493869,0.4551607,"(0.2493869,0.4551607)",0.3186372,0.0512617,0.0026278,0.337281,0.4100321,0.3045305,0.2493869,0.2855949
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023012000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-12,23.0,0.2301701,0.4986099,"(0.2301701,0.4986099)",0.3341165,0.0642889,0.0041331,0.3754107,0.4986099,0.3189888,0.2301701,0.2876568
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023015000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-15,24.0,0.2029294,0.4560979,"(0.2029294,0.4560979)",0.3185441,0.0635251,0.0040354,0.3592296,0.4560979,0.2971762,0.2029294,0.2759826
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023016000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-16,10.0,0.242865,0.4289393,"(0.242865,0.4289393)",0.3460998,0.0600031,0.0036004,0.4075572,0.4289393,0.3216939,0.242865,0.3062081
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023018000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-18,23.0,0.2459427,0.4199642,"(0.2459427,0.4199642)",0.33077,0.0472089,0.0022287,0.3689024,0.4199642,0.3290167,0.2459427,0.289951
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023020000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-20,23.0,0.2362408,0.4981083,"(0.2362408,0.4981083)",0.3391831,0.0627413,0.0039365,0.3757495,0.4981083,0.3165464,0.2362408,0.2937824
