File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2022353000000_aid0001,_250m_16_days_NDVI,aid0001,2022-12-19,334699.0,-0.2,0.9974,"(-0.2,0.9974)",0.4200003,0.2018093,0.040727,0.5499,0.8408,0.4673,0.0649,0.3559
MOD13Q1_061__250m_16_days_NDVI_doy2023001000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-01,330052.0,-0.2,0.9986,"(-0.2,0.9986)",0.4385923,0.2020285,0.0408155,0.5805,0.9087,0.4798,0.0293,0.36
MOD13Q1_061__250m_16_days_NDVI_doy2023017000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-17,331998.0,-0.2,0.9988,"(-0.2,0.9988)",0.436707,0.1908794,0.0364349,0.5742,0.9104,0.4742,0.0117,0.3492
MOD13Q1_061__250m_16_days_NDVI_doy2023033000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-02,330161.0,-0.2,0.9933,"(-0.2,0.9933)",0.4710607,0.2035119,0.0414171,0.6183,0.9715,0.5146,0.0128,0.3761
MOD13Q1_061__250m_16_days_NDVI_doy2023049000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-18,339392.0,-0.2,0.991,"(-0.2,0.991)",0.4756846,0.2248422,0.050554,0.6257,0.9766,0.5277,0.0345,0.3892
MOD13Q1_061__250m_16_days_NDVI_doy2023065000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-06,338949.0,-0.2,0.9961,"(-0.2,0.9961)",0.5077337,0.2114178,0.0446975,0.6418,0.9402,0.5516,0.1441,0.4427
MOD13Q1_061__250m_16_days_NDVI_doy2023081000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-22,337094.0,-0.2,0.9991,"(-0.2,0.9991)",0.6172157,0.245672,0.0603547,0.7798,0.9991,0.6994,0.1926,0.5449
MOD13Q1_061__250m_16_days_NDVI_doy2023097000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-07,345114.0,-0.2,0.9987,"(-0.2,0.9987)",0.5507959,0.2343475,0.0549187,0.709,0.9987,0.6395,0.1295,0.4772
MOD13Q1_061__250m_16_days_NDVI_doy2023113000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-23,338547.0,-0.2,0.9992,"(-0.2,0.9992)",0.5649572,0.2125261,0.0451673,0.7022,0.9829,0.6345,0.2335,0.5147
MOD13Q1_061__250m_16_days_NDVI_doy2023129000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-09,345342.0,-0.2,0.998,"(-0.2,0.998)",0.5343901,0.2244804,0.0503914,0.6858,0.998,0.6052,0.1301,0.4635
MOD13Q1_061__250m_16_days_NDVI_doy2023145000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-25,340292.0,-0.2,0.9975,"(-0.2,0.9975)",0.5646269,0.2370223,0.0561796,0.7261,0.9975,0.6361,0.1434,0.493
MOD13Q1_061__250m_16_days_NDVI_doy2023161000000_aid0001,_250m_16_days_NDVI,aid0001,2023-06-10,345574.0,-0.2,0.9985,"(-0.2,0.9985)",0.4396418,0.2355577,0.0554874,0.6367,0.9985,0.4519,-0.2,0.2999
MOD13Q1_061__250m_16_days_NDVI_doy2023177000000_aid0001,_250m_16_days_NDVI,aid0001,2023-06-26,344819.0,-0.2,0.9994,"(-0.2,0.9994)",0.3968118,0.2396199,0.0574177,0.5779,0.9994,0.4124,-0.2,0.2244
MOD13Q1_061__250m_16_days_NDVI_doy2023193000000_aid0001,_250m_16_days_NDVI,aid0001,2023-07-12,342151.0,-0.2,0.9991,"(-0.2,0.9991)",0.4721949,0.2701256,0.0729678,0.686,0.9991,0.5361,-0.2,0.2952
MOD13Q1_061__250m_16_days_NDVI_doy2023209000000_aid0001,_250m_16_days_NDVI,aid0001,2023-07-28,344608.0,-0.2,0.9987,"(-0.2,0.9987)",0.3864825,0.2396239,0.0574196,0.5795,0.9987,0.3971,-0.2,0.2008
MOD13Q1_061__250m_16_days_NDVI_doy2023225000000_aid0001,_250m_16_days_NDVI,aid0001,2023-08-13,346030.0,-0.2,0.9981,"(-0.2,0.9981)",0.3328548,0.2229861,0.0497228,0.4846,0.972,0.3166,-0.2,0.1595
MOD13Q1_061__250m_16_days_NDVI_doy2023241000000_aid0001,_250m_16_days_NDVI,aid0001,2023-08-29,342949.0,-0.2,0.9992,"(-0.2,0.9992)",0.4734507,0.2555736,0.0653179,0.6602,0.9992,0.5409,-0.148,0.3369
MOD13Q1_061__250m_16_days_NDVI_doy2023257000000_aid0001,_250m_16_days_NDVI,aid0001,2023-09-14,338931.0,-0.2,0.9993,"(-0.2,0.9993)",0.4921018,0.2549498,0.0649994,0.6843,0.9993,0.5395,-0.1562,0.3481
