File,aid,Date,2,3,17,65,81,97,129,145
QC_Day_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,6394,249,,14360,30.0,,,
QC_Day_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,2170,249,5.0,11066,20.0,,,1.0
QC_Day_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,16,249,3.0,11314,24.0,,,7.0
QC_Day_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,2658,249,,15100,20.0,,,13.0
QC_Day_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,11,249,6.0,7639,28.0,,,
QC_Day_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,1,249,,6736,25.0,,,2.0
QC_Day_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,1,249,5.0,572,28.0,,,
QC_Day_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,27,249,2.0,8446,32.0,,,2.0
QC_Day_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,1,249,1.0,183,28.0,,,
QC_Day_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,2,249,13.0,644,19.0,,,
QC_Day_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,17215,249,,4511,27.0,,,1.0
QC_Day_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,186,249,,15068,42.0,,,
QC_Day_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,27,249,18.0,11743,11.0,,,
QC_Day_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,1,249,4.0,358,27.0,,,
QC_Day_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,243,249,13.0,4501,22.0,,,
QC_Day_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,93,249,,17174,26.0,,453.0,1.0
QC_Day_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,60,249,,16934,22.0,,792.0,14.0
QC_Day_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,21,249,23.0,9955,5.0,,9.0,
QC_Day_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,3136,249,,16392,24.0,,1653.0,5.0
QC_Day_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,6,249,,20121,27.0,,33.0,10.0
QC_Day_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,143,249,4.0,16761,34.0,,1285.0,
QC_Day_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,1783,249,17.0,6691,23.0,,19.0,
QC_Day_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,18029,249,,3398,,,485.0,
QC_Day_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,20661,249,,1019,5.0,,254.0,
QC_Day_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,14720,249,,5088,1.0,,2123.0,5.0
QC_Day_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,10100,249,,10618,16.0,8.0,715.0,
QC_Day_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,9133,249,,10751,17.0,,1951.0,13.0
QC_Day_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,11586,249,,8541,14.0,,1381.0,18.0
QC_Day_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,21161,249,,769,,,9.0,
QC_Day_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,12469,249,,4878,24.0,,4325.0,
QC_Day_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,18615,249,,3309,,,,
QC_Day_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,16223,249,,5611,16.0,,66.0,9.0
QC_Day_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,12298,249,,8873,23.0,,11.0,2.0
QC_Day_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,7985,249,,12203,17.0,,781.0,14.0
QC_Day_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,6936,249,,9392,,,5017.0,
QC_Day_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,15980,249,,5483,,,,
QC_Day_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,119,249,,16271,24.0,,,4.0
QC_Day_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,4,249,8.0,11686,30.0,,,
QC_Day_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,12,249,,13979,33.0,,,
QC_Day_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,5,249,6.0,7157,34.0,,,
QC_Day_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,2,249,1.0,5269,36.0,,,
QC_Day_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,1337,249,,18089,29.0,,42.0,3.0
QC_Day_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,8,249,4.0,4713,28.0,,,
QC_Day_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,2773,249,,16745,20.0,,,5.0
QC_Day_2023345_aid0001,aid0001,2023-12-11 00:00:00+00:00,192,249,,13138,17.0,,,23.0
QC_Day_2023353_aid0001,aid0001,2023-12-19 00:00:00+00:00,754,249,,16874,32.0,,223.0,1.0
QC_Day_2023361_aid0001,aid0001,2023-12-27 00:00:00+00:00,382,249,4.0,9014,24.0,,,11.0
QC_Day_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,20,249,4.0,6807,24.0,,,13.0
QC_Day_2024009_aid0001,aid0001,2024-01-09 00:00:00+00:00,1000,249,,16848,25.0,,,3.0
QC_Day_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,4671,249,,14959,22.0,,9.0,2.0
QC_Day_2024025_aid0001,aid0001,2024-01-25 00:00:00+00:00,747,249,,11847,23.0,,,15.0
QC_Day_2024033_aid0001,aid0001,2024-02-02 00:00:00+00:00,2,249,17.0,5654,18.0,,,
QC_Day_2024041_aid0001,aid0001,2024-02-10 00:00:00+00:00,3,249,,6640,35.0,,,
QC_Day_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,528,249,,7938,26.0,,,
QC_Day_2024057_aid0001,aid0001,2024-02-26 00:00:00+00:00,2,249,9.0,3431,24.0,,,
QC_Day_2024065_aid0001,aid0001,2024-03-05 00:00:00+00:00,1,249,2.0,493,21.0,,,
QC_Day_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,157,249,,9111,21.0,,20.0,8.0
QC_Day_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,630,249,,6271,29.0,,44.0,
QC_Day_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,1949,249,7.0,12737,31.0,,22.0,
QC_Day_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,170,249,,14459,2.0,,355.0,30.0
QC_Day_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,4,249,,15637,31.0,,32.0,
QC_Day_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,68,249,,11676,27.0,,7.0,
QC_Day_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,276,249,6.0,16761,25.0,,48.0,
QC_Day_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,1077,249,,17772,24.0,,481.0,8.0
QC_Day_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,2267,249,,13590,17.0,,5347.0,20.0
QC_Day_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,4127,249,,15715,8.0,,127.0,
QC_Day_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,4151,249,,17110,33.0,,178.0,
QC_Day_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,14715,249,,7092,34.0,,,3.0
QC_Day_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,18037,249,,3765,,,32.0,10.0
QC_Day_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,20923,249,,385,,,631.0,
QC_Day_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,19608,249,,1637,5.0,,684.0,5.0
QC_Day_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,14584,249,,4791,,,2556.0,
QC_Day_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,15647,249,,2669,,,3560.0,11.0
QC_Day_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,18893,249,,1802,10.0,,1217.0,15.0
QC_Day_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,20285,249,,1193,,,446.0,
QC_Day_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,17977,249,,3866,,,,
QC_Day_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,20657,249,,1276,,,6.0,
QC_Day_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,4825,249,,16012,19.0,,434.0,13.0
QC_Day_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,4505,249,,15319,21.0,,1586.0,11.0
QC_Day_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,7272,249,,2016,,,12588.0,21.0
QC_Day_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,11530,249,,9885,15.0,,,8.0
QC_Day_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,19270,249,,1165,,,1482.0,
QC_Day_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,967,249,,18717,41.0,,238.0,1.0
QC_Day_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,365,249,,13488,32.0,,353.0,
QC_Day_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,141,249,2.0,17411,35.0,,87.0,
QC_Day_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,11,249,,15396,40.0,,,
QC_Day_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,1,249,,4439,27.0,,,
QC_Day_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,3,249,3.0,11094,31.0,,,
QC_Day_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,5406,249,,12737,30.0,,102.0,6.0
QC_Day_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,23,249,14.0,8802,16.0,,,
QC_Day_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,41,249,,10686,20.0,,,6.0
QC_Day_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,40,249,,7480,31.0,,,
QC_Day_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,6,249,11.0,4746,20.0,,,
QC_Day_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,1037,249,,12649,19.0,,,20.0
QC_Day_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,4,249,1.0,6028,21.0,,,10.0
QC_Day_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,1,249,1.0,8385,30.0,,,
QC_Day_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,2863,249,,14318,24.0,,,13.0
QC_Day_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,1,249,9.0,1025,21.0,,,
QC_Day_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,2,249,3.0,5471,32.0,,,2.0
QC_Day_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,2,249,,7877,33.0,,,
QC_Day_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,2,249,5.0,2997,34.0,,,
QC_Day_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,1,249,2.0,2085,23.0,,,
QC_Day_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,1,249,5.0,3077,30.0,,,
QC_Day_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,1,249,6.0,703,27.0,,,
QC_Day_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,45,249,12.0,13816,21.0,,1.0,
QC_Day_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,63,249,,15937,16.0,,13.0,13.0
QC_Day_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,10724,249,,10278,,,135.0,
QC_Day_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,511,249,21.0,11977,16.0,,2.0,
QC_Day_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,484,249,3.0,19450,20.0,,420.0,4.0
QC_Day_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,814,249,,17165,24.0,,1352.0,1.0
QC_Day_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,14117,249,,3640,24.0,,4135.0,3.0
QC_Day_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,21760,249,,178,,,1.0,
QC_Day_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,2590,249,,9192,3.0,,9895.0,13.0
