File,aid,Date,2,3,17,65,81,129,145
QC_Night_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,1,249,19.0,460.0,14.0,,
QC_Night_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,4,249,4.0,790.0,25.0,,
QC_Night_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,1,249,12.0,105.0,20.0,,
QC_Night_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,1,249,14.0,113.0,15.0,,
QC_Night_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,1,249,32.0,1699.0,,,
QC_Night_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,16,249,12.0,4300.0,20.0,,
QC_Night_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,1,249,7.0,170.0,18.0,,
QC_Night_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,1,249,10.0,2765.0,22.0,,
QC_Night_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,4,249,14.0,2432.0,16.0,,
QC_Night_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,1,249,33.0,1159.0,,,
QC_Night_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,1242,249,16.0,6902.0,24.0,71.0,
QC_Night_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,1,249,20.0,1006.0,7.0,,
QC_Night_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,1,249,33.0,515.0,,,
QC_Night_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,2,249,26.0,31.0,,,
QC_Night_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,2,249,36.0,317.0,,,
QC_Night_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,14,249,32.0,5651.0,,,
QC_Night_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,5,249,37.0,27.0,,,
QC_Night_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,131,249,10.0,5016.0,16.0,97.0,
QC_Night_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,1,249,19.0,1005.0,11.0,,
QC_Night_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,2,249,25.0,1662.0,3.0,,
QC_Night_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,2,249,32.0,254.0,,,
QC_Night_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,18015,249,,1982.0,,,
QC_Night_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,18922,249,,2285.0,5.0,,
QC_Night_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,14572,249,1.0,4669.0,18.0,,
QC_Night_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,21520,249,,415.0,,,
QC_Night_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,13644,249,,4123.0,3.0,45.0,
QC_Night_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,20385,249,,1136.0,,,
QC_Night_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,1481,249,49.0,3014.0,3.0,,
QC_Night_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,21939,249,,,,,
QC_Night_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,20137,249,,1372.0,,,
QC_Night_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,19038,249,,1066.0,,,
QC_Night_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,21939,249,,,,,
QC_Night_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,21718,249,,213.0,8.0,,
QC_Night_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,14353,249,2.0,1459.0,3.0,,
QC_Night_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,21489,249,,439.0,,,
QC_Night_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,12016,249,7.0,7481.0,32.0,13.0,
QC_Night_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,1,249,29.0,1720.0,2.0,,
QC_Night_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,2,249,35.0,37.0,,,
