File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD11A2_061_LST_Day_1km_doy2022361000000_aid0001,LST_Day_1km,aid0001,2022-12-27,15545.0,292.46,302.24,"(292.46,302.24)",297.4602625,1.2515095,1.5662761,298.18,300.1,297.62,294.98,296.9
MYD11A2_061_LST_Day_1km_doy2023001000000_aid0001,LST_Day_1km,aid0001,2023-01-01,19769.0,291.68,302.22,"(291.68,302.22)",297.0088957,1.8636925,3.4733497,298.5,302.22,296.96,291.68,295.6
MYD11A2_061_LST_Day_1km_doy2023009000000_aid0001,LST_Day_1km,aid0001,2023-01-09,21923.0,291.28,305.32,"(291.28,305.32)",298.8244647,2.1287046,4.5313831,300.12,303.38,299.12,294.68,297.94
MYD11A2_061_LST_Day_1km_doy2023017000000_aid0001,LST_Day_1km,aid0001,2023-01-17,19281.0,291.88,305.7,"(291.88,305.7)",298.4392272,2.2578743,5.0979965,299.58,302.72,298.42,294.34,297.48
MYD11A2_061_LST_Day_1km_doy2023025000000_aid0001,LST_Day_1km,aid0001,2023-01-25,21928.0,293.14,308.72,"(293.14,308.72)",301.4530181,2.4388632,5.9480536,302.68,305.86,301.48,297.38,300.56
MYD11A2_061_LST_Day_1km_doy2023033000000_aid0001,LST_Day_1km,aid0001,2023-02-02,21938.0,293.44,308.34,"(293.44,308.34)",301.1083937,2.5255776,6.378542,302.28,305.76,300.96,296.48,299.96
MYD11A2_061_LST_Day_1km_doy2023041000000_aid0001,LST_Day_1km,aid0001,2023-02-10,21938.0,294.62,309.48,"(294.62,309.48)",301.6590665,2.6090529,6.8071569,302.86,306.7,301.32,296.46,300.3
MYD11A2_061_LST_Day_1km_doy2023049000000_aid0001,LST_Day_1km,aid0001,2023-02-18,21912.0,295.18,312.54,"(295.18,312.54)",303.894362,2.5590695,6.5488367,305.2,308.86,303.9,299.1,302.76
MYD11A2_061_LST_Day_1km_doy2023057000000_aid0001,LST_Day_1km,aid0001,2023-02-26,21938.0,298.06,314.58,"(298.06,314.58)",305.7887939,2.9536505,8.7240512,307.28,312.28,305.66,298.94,303.94
MYD11A2_061_LST_Day_1km_doy2023065000000_aid0001,LST_Day_1km,aid0001,2023-03-06,21937.0,297.82,314.7,"(297.82,314.7)",305.8563021,2.8931133,8.3701047,307.86,313.8,305.7,297.82,303.84
MYD11A2_061_LST_Day_1km_doy2023073000000_aid0001,LST_Day_1km,aid0001,2023-03-14,4724.0,281.3,307.74,"(281.3,307.74)",300.6882007,3.1438607,9.88386,302.74,307.74,300.96,293.96,299.22
