File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023002000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-02,1.0,0.4768226,0.4768226,"(0.4768226,0.4768226)",0.4768226,0.0,0.0,0.4768226,0.4768226,0.4768226,0.4768226,0.4768226
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023004000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-04,15.0,0.2410311,0.4717787,"(0.2410311,0.4717787)",0.3610098,0.0590976,0.0034925,0.3987025,0.4717787,0.3603416,0.2410311,0.3312939
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023007000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-07,14.0,0.2815791,0.4873369,"(0.2815791,0.4873369)",0.3815679,0.0633233,0.0040098,0.4253617,0.4873369,0.3976702,0.2815791,0.3177179
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023008000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-08,14.0,0.2467429,0.4414493,"(0.2467429,0.4414493)",0.3764532,0.0653242,0.0042672,0.4298193,0.4414493,0.4001543,0.2467429,0.3388208
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023010000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-10,1.0,0.426859,0.426859,"(0.426859,0.426859)",0.426859,0.0,0.0,0.426859,0.426859,0.426859,0.426859,0.426859
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023012000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-12,11.0,0.2822521,0.4837144,"(0.2822521,0.4837144)",0.4028422,0.0626256,0.003922,0.4459735,0.4837144,0.4268726,0.2822521,0.3563643
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023015000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-15,12.0,0.2503496,0.4615537,"(0.2503496,0.4615537)",0.3722308,0.0525239,0.0027588,0.4036363,0.4615537,0.389058,0.2503496,0.3365497
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023016000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-16,12.0,0.2424731,0.4505519,"(0.2424731,0.4505519)",0.3821407,0.0649376,0.0042169,0.4332441,0.4505519,0.4069359,0.2424731,0.3488
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023018000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-18,1.0,0.4067701,0.4067701,"(0.4067701,0.4067701)",0.4067701,0.0,0.0,0.4067701,0.4067701,0.4067701,0.4067701,0.4067701
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023020000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-20,14.0,0.255731,0.4895362,"(0.255731,0.4895362)",0.3990057,0.077571,0.0060173,0.4637797,0.4895362,0.428155,0.255731,0.3449352
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023023000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-23,10.0,0.2160479,0.470458,"(0.2160479,0.470458)",0.3790148,0.0874597,0.0076492,0.4386468,0.470458,0.4074716,0.2160479,0.3443818
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023024000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-24,11.0,0.2307198,0.4877835,"(0.2307198,0.4877835)",0.3936425,0.084219,0.0070928,0.4635735,0.4877835,0.4057476,0.2307198,0.3362721
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023026000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-26,3.0,0.2546234,0.4940988,"(0.2546234,0.4940988)",0.3866712,0.0993033,0.0098612,0.452695,0.4940988,0.4112912,0.2546234,0.3329573
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023028000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-28,15.0,0.2380273,0.4839827,"(0.2380273,0.4839827)",0.3972195,0.0707278,0.0050024,0.4496926,0.4839827,0.4322863,0.2380273,0.3498304
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023031000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-31,13.0,0.2213255,0.4850718,"(0.2213255,0.4850718)",0.3699074,0.0739618,0.0054703,0.4147245,0.4850718,0.396621,0.2213255,0.3065964
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023032000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-01,14.0,0.2450025,0.4827078,"(0.2450025,0.4827078)",0.3702519,0.0764833,0.0058497,0.4397772,0.4827078,0.3807768,0.2450025,0.320195
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023034000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-03,1.0,0.4413863,0.4413863,"(0.4413863,0.4413863)",0.4413863,0.0,0.0,0.4413863,0.4413863,0.4413863,0.4413863,0.4413863
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023036000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-05,13.0,0.2550524,0.4782876,"(0.2550524,0.4782876)",0.3813421,0.0672791,0.0045265,0.4268951,0.4782876,0.4186331,0.2550524,0.3220898
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023040000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-09,15.0,0.2360547,0.4980713,"(0.2360547,0.4980713)",0.3802955,0.0817585,0.0066844,0.444429,0.4980713,0.3998431,0.2360547,0.3351109
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023042000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-11,3.0,0.2416873,0.4667302,"(0.2416873,0.4667302)",0.3854631,0.1019528,0.0103944,0.4573509,0.4667302,0.4479716,0.2416873,0.3448295
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023044000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-13,10.0,0.2605148,0.4720731,"(0.2605148,0.4720731)",0.3673724,0.0799311,0.006389,0.4529369,0.4720731,0.3552651,0.2605148,0.2938772
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023047000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-16,16.0,0.1901271,0.485402,"(0.1901271,0.485402)",0.381425,0.0820052,0.0067248,0.4356032,0.485402,0.3965775,0.1901271,0.3228361
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023048000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-17,15.0,0.2185655,0.4646603,"(0.2185655,0.4646603)",0.3680141,0.0764692,0.0058475,0.4392449,0.4646603,0.362219,0.2185655,0.3183977
