File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2022353000000_aid0001,_250m_16_days_NDVI,aid0001,2022-12-19,247960.0,-0.1988,0.998,"(-0.1988,0.998)",0.6984219,0.1530368,0.0234203,0.8104,0.998,0.7486,0.3429,0.6234
MOD13Q1_061__250m_16_days_NDVI_doy2023001000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-01,247300.0,-0.2,0.9832,"(-0.2,0.9832)",0.6909922,0.1473413,0.0217095,0.7997,0.9832,0.7318,0.3462,0.6183
MOD13Q1_061__250m_16_days_NDVI_doy2023017000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-17,248085.0,-0.2,0.9712,"(-0.2,0.9712)",0.6436387,0.1422417,0.0202327,0.7418,0.9712,0.6751,0.3336,0.5785
MOD13Q1_061__250m_16_days_NDVI_doy2023033000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-02,248127.0,-0.2,0.9899,"(-0.2,0.9899)",0.6092373,0.1352741,0.0182991,0.7043,0.946,0.631,0.2948,0.5405
MOD13Q1_061__250m_16_days_NDVI_doy2023049000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-18,248265.0,-0.2,0.9972,"(-0.2,0.9972)",0.5814214,0.1107215,0.0122593,0.6465,0.8143,0.5887,0.3668,0.5346
MOD13Q1_061__250m_16_days_NDVI_doy2023065000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-06,248699.0,-0.1995,0.9905,"(-0.1995,0.9905)",0.568407,0.1101433,0.0121316,0.6315,0.7992,0.5728,0.352,0.5197
MOD13Q1_061__250m_16_days_NDVI_doy2023081000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-22,248589.0,-0.1997,0.9953,"(-0.1997,0.9953)",0.642409,0.1135273,0.0128885,0.7091,0.8838,0.65,0.4179,0.5926
MOD13Q1_061__250m_16_days_NDVI_doy2023097000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-07,248688.0,-0.2,0.9969,"(-0.2,0.9969)",0.6413039,0.1076795,0.0115949,0.7105,0.8864,0.6536,0.4168,0.593
MOD13Q1_061__250m_16_days_NDVI_doy2023113000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-23,248705.0,-0.1926,0.9421,"(-0.1926,0.9421)",0.6546177,0.1104223,0.0121931,0.7198,0.8836,0.6705,0.4446,0.6097
MOD13Q1_061__250m_16_days_NDVI_doy2023129000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-09,248686.0,-0.0879,0.9935,"(-0.0879,0.9935)",0.6519413,0.104927,0.0110097,0.7144,0.8638,0.6683,0.4647,0.6145
