File,aid,Date,2,3,17,65,81,97,129,145
QC_Day_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,3538.0,9,,6106.0,55.0,,,31.0
QC_Day_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,4.0,9,1.0,329.0,70.0,,,10.0
QC_Day_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,,9,3.0,480.0,87.0,,,
QC_Day_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,,9,4.0,748.0,86.0,,,
QC_Day_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,,9,15.0,18.0,69.0,,,
QC_Day_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,,9,1.0,2268.0,93.0,,,
QC_Day_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,9,5.0,16.0,77.0,,,
QC_Day_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,9,4.0,2729.0,64.0,,,31.0
QC_Day_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,9,4.0,2.0,84.0,,,
QC_Day_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,9,3.0,76.0,86.0,,,
QC_Day_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,4035.0,9,,7198.0,36.0,,,43.0
QC_Day_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,325.0,9,13.0,9860.0,74.0,,,1.0
QC_Day_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,831.0,9,20.0,13444.0,53.0,,,
QC_Day_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,9,4.0,83.0,87.0,,,
QC_Day_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,217.0,9,1.0,6133.0,69.0,,,19.0
QC_Day_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,,9,,6133.0,51.0,,14.0,36.0
QC_Day_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,111.0,9,,9405.0,53.0,,805.0,35.0
QC_Day_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,147.0,9,1.0,10097.0,76.0,,194.0,4.0
QC_Day_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,3127.0,9,,10441.0,75.0,,249.0,15.0
QC_Day_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,345.0,9,,13741.0,84.0,,258.0,
QC_Day_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,1406.0,9,2.0,11181.0,76.0,,98.0,14.0
QC_Day_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,14934.0,9,,592.0,,,314.0,
QC_Day_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,7247.0,9,,8294.0,16.0,,11.0,10.0
QC_Day_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,10533.0,9,,3761.0,12.0,,1500.0,3.0
QC_Day_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,7004.0,9,,8059.0,7.0,,485.0,11.0
QC_Day_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,5176.0,9,,9912.0,29.0,,210.0,
QC_Day_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,5604.0,9,,7566.0,,,2333.0,
QC_Day_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,10944.0,9,,1555.0,,,3337.0,
QC_Day_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,15844.0,9,,,,,,
QC_Day_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,7042.0,9,,7476.0,23.0,,300.0,
QC_Day_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,13299.0,9,,1957.0,,,,
QC_Day_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,10700.0,9,,4682.0,,,397.0,
QC_Day_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,4922.0,9,,8770.0,16.0,,384.0,6.0
QC_Day_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,1621.0,9,,12531.0,5.0,,765.0,6.0
QC_Day_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,232.0,9,,10475.0,30.0,,4.0,19.0
QC_Day_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,3619.0,9,3.0,10035.0,69.0,,,8.0
QC_Day_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,688.0,9,2.0,11157.0,66.0,,10.0,3.0
QC_Day_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,,9,1.0,3411.0,84.0,,,5.0
QC_Day_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,,9,3.0,6510.0,86.0,,,
QC_Day_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,,9,45.0,1520.0,44.0,,,
QC_Day_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,1.0,9,34.0,4377.0,53.0,,,
QC_Day_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,15.0,9,,7034.0,66.0,,,12.0
QC_Day_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,,9,12.0,153.0,76.0,,,
QC_Day_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,1033.0,9,,10712.0,51.0,,22.0,32.0
QC_Day_2023345_aid0001,aid0001,2023-12-11 00:00:00+00:00,,9,,451.0,74.0,,,10.0
QC_Day_2023353_aid0001,aid0001,2023-12-19 00:00:00+00:00,,9,,9777.0,76.0,,,11.0
QC_Day_2023361_aid0001,aid0001,2023-12-27 00:00:00+00:00,2.0,9,1.0,9245.0,36.0,,,56.0
QC_Day_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,,9,5.0,987.0,78.0,,,
QC_Day_2024009_aid0001,aid0001,2024-01-09 00:00:00+00:00,2.0,9,,2299.0,74.0,,,20.0
QC_Day_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,3.0,9,4.0,1705.0,86.0,,,1.0
QC_Day_2024025_aid0001,aid0001,2024-01-25 00:00:00+00:00,,9,2.0,702.0,82.0,,,5.0
QC_Day_2024033_aid0001,aid0001,2024-02-02 00:00:00+00:00,,9,8.0,1047.0,81.0,,,
QC_Day_2024041_aid0001,aid0001,2024-02-10 00:00:00+00:00,,9,4.0,1260.0,90.0,,,1.0
QC_Day_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,1.0,9,2.0,2531.0,82.0,,,
QC_Day_2024057_aid0001,aid0001,2024-02-26 00:00:00+00:00,,9,2.0,157.0,87.0,,,
QC_Day_2024065_aid0001,aid0001,2024-03-05 00:00:00+00:00,,9,1.0,15.0,87.0,,,
QC_Day_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,,9,,4249.0,37.0,,,52.0
QC_Day_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,3442.0,9,1.0,2491.0,5.0,,17.0,
QC_Day_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,912.0,9,,7747.0,60.0,,,32.0
QC_Day_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,10.0,9,,7782.0,19.0,,34.0,59.0
QC_Day_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,21.0,9,4.0,5797.0,84.0,,,
QC_Day_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,34.0,9,,9935.0,68.0,,112.0,23.0
QC_Day_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,4.0,9,,10586.0,48.0,,51.0,35.0
QC_Day_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,271.0,9,2.0,10634.0,60.0,,3.0,28.0
QC_Day_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,1232.0,9,,10034.0,2.0,,2935.0,86.0
QC_Day_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,5947.0,9,,5329.0,23.0,,811.0,
QC_Day_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,2292.0,9,2.0,11518.0,74.0,,80.0,
QC_Day_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,4464.0,9,,10092.0,9.0,,9.0,9.0
QC_Day_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,11653.0,9,,3001.0,,,1097.0,
QC_Day_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,12455.0,9,,1836.0,,,1504.0,5.0
QC_Day_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,14583.0,9,,1226.0,,,31.0,
QC_Day_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,8391.0,9,,5632.0,10.0,,1716.0,18.0
QC_Day_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,8703.0,9,,3958.0,,,3173.0,10.0
QC_Day_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,12947.0,9,,2889.0,,,8.0,
QC_Day_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,15565.0,9,,142.0,,,137.0,
QC_Day_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,10034.0,9,,5496.0,7.0,,,
QC_Day_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,11447.0,9,,3951.0,4.0,,100.0,
QC_Day_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,5134.0,9,,9313.0,1.0,,869.0,22.0
QC_Day_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,4574.0,9,,10114.0,6.0,,403.0,
QC_Day_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,1735.0,9,,9284.0,34.0,,3420.0,48.0
QC_Day_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,3471.0,9,,10425.0,36.0,,4.0,6.0
QC_Day_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,12535.0,9,,2412.0,5.0,,603.0,2.0
QC_Day_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,683.0,9,,10133.0,54.0,,116.0,19.0
QC_Day_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,296.0,9,,7075.0,18.0,,36.0,26.0
QC_Day_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,,9,,7627.0,42.0,,1.0,33.0
QC_Day_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,46.0,9,,8393.0,90.0,,,
QC_Day_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,,9,4.0,2231.0,87.0,,,
QC_Day_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,,9,,2454.0,77.0,,,11.0
QC_Day_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,1.0,9,,5714.0,93.0,,,
QC_Day_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,,9,9.0,161.0,85.0,,,
QC_Day_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,,9,,125.0,86.0,,,
QC_Day_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,,9,,5851.0,86.0,,,4.0
QC_Day_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,,9,10.0,262.0,80.0,,,
QC_Day_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,13.0,9,,8156.0,75.0,,,11.0
QC_Day_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,,9,,1708.0,89.0,,,
QC_Day_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,,9,3.0,534.0,82.0,,,
QC_Day_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,967.0,9,,6540.0,27.0,,4.0,62.0
QC_Day_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,,9,10.0,54.0,77.0,,,
QC_Day_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,1.0,9,,3348.0,83.0,,,6.0
QC_Day_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,,9,,1612.0,62.0,,,24.0
QC_Day_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,,9,,1158.0,89.0,,,
QC_Day_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,,9,,405.0,82.0,,,
QC_Day_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,,9,6.0,2379.0,81.0,,,4.0
QC_Day_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,9,3.0,236.0,78.0,,,1.0
QC_Day_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,,9,,3913.0,85.0,,,4.0
QC_Day_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,,9,,3003.0,79.0,,,5.0
QC_Day_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,469.0,9,13.0,9412.0,71.0,,1.0,
QC_Day_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,4623.0,9,1.0,9470.0,73.0,,62.0,15.0
QC_Day_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,169.0,9,5.0,12805.0,84.0,,50.0,2.0
QC_Day_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,4041.0,9,,8718.0,38.0,,2130.0,52.0
