File,aid,Date,2,3,17,65,81,129,145
QC_Night_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,17.0,9,4.0,5177.0,84.0,,7.0
QC_Night_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,18.0,9,,3370.0,72.0,,12.0
QC_Night_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,,9,17.0,441.0,68.0,,
QC_Night_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,,9,44.0,56.0,41.0,,
QC_Night_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,,9,81.0,1216.0,,,
QC_Night_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,,9,,1906.0,84.0,,
QC_Night_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,9,1.0,142.0,87.0,,
QC_Night_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,9,6.0,982.0,87.0,,
QC_Night_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,9,25.0,40.0,60.0,,
QC_Night_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,9,32.0,85.0,54.0,,
QC_Night_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,1100.0,9,26.0,6779.0,47.0,19.0,15.0
QC_Night_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,,9,33.0,568.0,53.0,,
QC_Night_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,,9,53.0,1337.0,32.0,,
QC_Night_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,9,88.0,,,,
QC_Night_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,,9,20.0,121.0,62.0,,
QC_Night_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,6.0,9,4.0,1231.0,86.0,,
QC_Night_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,,9,86.0,640.0,6.0,,
QC_Night_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,540.0,9,13.0,2853.0,57.0,79.0,
