File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD11A2_061_LST_Day_1km_doy2022361000000_aid0001,LST_Day_1km,aid0001,2022-12-27,12306.0,292.78,302.18,"(292.78,302.18)",296.8637705,1.4420588,2.0795336,297.84,300.8,296.78,292.94,295.86
MYD11A2_061_LST_Day_1km_doy2023001000000_aid0001,LST_Day_1km,aid0001,2023-01-01,15840.0,295.14,303.4,"(295.14,303.4)",298.3097197,1.3088791,1.7131645,299.22,302.12,298.14,295.14,297.28
MYD11A2_061_LST_Day_1km_doy2023009000000_aid0001,LST_Day_1km,aid0001,2023-01-09,15844.0,295.18,304.9,"(295.18,304.9)",300.0102891,1.5089283,2.2768647,301.14,304.26,300.04,295.6,298.92
MYD11A2_061_LST_Day_1km_doy2023017000000_aid0001,LST_Day_1km,aid0001,2023-01-17,15844.0,296.24,305.48,"(296.24,305.48)",300.5069907,1.6515429,2.7275939,301.82,305.48,300.54,296.24,299.26
MYD11A2_061_LST_Day_1km_doy2023025000000_aid0001,LST_Day_1km,aid0001,2023-01-25,15844.0,297.44,307.74,"(297.44,307.74)",302.9846428,1.5533751,2.4129742,304.14,307.2,303.08,298.7,301.96
MYD11A2_061_LST_Day_1km_doy2023033000000_aid0001,LST_Day_1km,aid0001,2023-02-02,15844.0,297.46,307.52,"(297.46,307.52)",302.1509417,1.5424497,2.3791512,303.3,306.5,302.22,297.96,301.16
MYD11A2_061_LST_Day_1km_doy2023041000000_aid0001,LST_Day_1km,aid0001,2023-02-10,15844.0,297.34,307.84,"(297.34,307.84)",302.3548346,1.6000927,2.5602966,303.6,307.02,302.54,297.9,301.32
MYD11A2_061_LST_Day_1km_doy2023049000000_aid0001,LST_Day_1km,aid0001,2023-02-18,15844.0,298.24,309.24,"(298.24,309.24)",305.0276546,1.8203087,3.3135239,306.48,309.24,305.26,299.94,303.86
MYD11A2_061_LST_Day_1km_doy2023057000000_aid0001,LST_Day_1km,aid0001,2023-02-26,15844.0,300.62,312.46,"(300.62,312.46)",307.3195519,1.467593,2.1538293,308.34,310.98,307.6,303.94,306.58
MYD11A2_061_LST_Day_1km_doy2023065000000_aid0001,LST_Day_1km,aid0001,2023-03-06,15844.0,300.78,312.8,"(300.78,312.8)",308.6805377,1.580325,2.4974271,309.78,312.76,308.88,304.78,307.78
MYD11A2_061_LST_Day_1km_doy2023073000000_aid0001,LST_Day_1km,aid0001,2023-03-14,11809.0,284.34,311.9,"(284.34,311.9)",302.8476078,3.9885848,15.9088088,305.82,311.9,303.6,294.58,301.32
MYD11A2_061_LST_Day_1km_doy2023081000000_aid0001,LST_Day_1km,aid0001,2023-03-22,15519.0,289.78,313.54,"(289.78,313.54)",305.6630376,2.4887985,6.194118,307.4,312.36,305.8,299.1,304.07
MYD11A2_061_LST_Day_1km_doy2023089000000_aid0001,LST_Day_1km,aid0001,2023-03-30,15013.0,288.88,310.2,"(288.88,310.2)",303.0724852,1.7070341,2.9139655,304.14,307.2,303.14,299.06,302.1
