File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023004000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-04,16.0,0.2480281,0.4442123,"(0.2480281,0.4442123)",0.3544708,0.0556916,0.0031016,0.3846993,0.4442123,0.3615232,0.2480281,0.3298585
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023005000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-05,16.0,0.1840385,0.3406996,"(0.1840385,0.3406996)",0.2875349,0.0397038,0.0015764,0.3180225,0.3406996,0.288981,0.2482119,0.2660733
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023007000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-07,16.0,0.1576288,0.4023534,"(0.1576288,0.4023534)",0.3163151,0.0580991,0.0033755,0.3572102,0.4023534,0.3115316,0.2678336,0.2890455
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023008000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-08,17.0,0.1892353,0.4057052,"(0.1892353,0.4057052)",0.321832,0.0587735,0.0034543,0.372836,0.4057052,0.3257638,0.1892353,0.2762356
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023012000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-12,16.0,0.2803003,0.4899892,"(0.2803003,0.4899892)",0.356779,0.0486923,0.0023709,0.3739839,0.4144742,0.348598,0.2803003,0.3279393
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023013000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-13,16.0,0.2928741,0.4161137,"(0.2928741,0.4161137)",0.3602854,0.0356617,0.0012718,0.394759,0.4161137,0.3551263,0.2928741,0.3436986
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023015000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-15,15.0,0.2012279,0.4327666,"(0.2012279,0.4327666)",0.3417953,0.0604627,0.0036557,0.3815185,0.4327666,0.3487061,0.2605661,0.3100634
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023016000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-16,17.0,0.2804923,0.4439094,"(0.2804923,0.4439094)",0.3585887,0.0479636,0.0023005,0.403968,0.4439094,0.3474076,0.2804923,0.3370062
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023020000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-20,17.0,0.2993719,0.4874535,"(0.2993719,0.4874535)",0.3987245,0.0558486,0.0031191,0.4192989,0.4874535,0.3973038,0.2993719,0.3627175
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023021000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-21,17.0,0.2886727,0.4182877,"(0.2886727,0.4182877)",0.3496783,0.0351664,0.0012367,0.3747273,0.4182877,0.3565866,0.2886727,0.3226282
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023023000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-23,15.0,0.2363912,0.475942,"(0.2363912,0.475942)",0.3660449,0.0678609,0.0046051,0.4130312,0.475942,0.3665753,0.2363912,0.3174143
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023024000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-24,17.0,0.2713841,0.4538119,"(0.2713841,0.4538119)",0.361287,0.0538845,0.0029035,0.4055771,0.4538119,0.3690805,0.2713841,0.3123296
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023028000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-28,14.0,0.2202189,0.4951376,"(0.2202189,0.4951376)",0.3249483,0.069498,0.00483,0.3447282,0.3471667,0.3113997,0.2202189,0.2816074
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023029000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-29,16.0,0.3110322,0.4394813,"(0.3110322,0.4394813)",0.3670715,0.0413252,0.0017078,0.3870446,0.4394813,0.3699268,0.3110322,0.3237449
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023031000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-31,15.0,0.2443974,0.4815178,"(0.2443974,0.4815178)",0.3867785,0.068366,0.0046739,0.45228,0.4815178,0.3834634,0.2443974,0.3434309
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023032000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-01,17.0,0.166855,0.4693436,"(0.166855,0.4693436)",0.3117058,0.0885337,0.0078382,0.376039,0.4693436,0.2849434,0.166855,0.2608723
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023036000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-05,14.0,0.2443182,0.4457885,"(0.2443182,0.4457885)",0.3538566,0.0520714,0.0027114,0.3729986,0.4457885,0.3545883,0.3103677,0.3215567
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023037000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-06,15.0,0.2878903,0.4585111,"(0.2878903,0.4585111)",0.3644785,0.0547976,0.0030028,0.4022568,0.4585111,0.3500354,0.2878903,0.3228694
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023040000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-09,17.0,0.2229955,0.4835638,"(0.2229955,0.4835638)",0.3529257,0.0737006,0.0054318,0.4073238,0.4835638,0.3232051,0.2229955,0.3077268
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023044000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-13,13.0,0.1804968,0.4427049,"(0.1804968,0.4427049)",0.2981675,0.0681544,0.004645,0.3145751,0.4110306,0.30088,0.1804968,0.2475234
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023045000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-14,15.0,0.3110311,0.4773821,"(0.3110311,0.4773821)",0.3790269,0.053732,0.0028871,0.4255412,0.4773821,0.3543828,0.3110311,0.3367278
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023047000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-16,13.0,0.2823399,0.4995312,"(0.2823399,0.4995312)",0.3621744,0.0557323,0.0031061,0.3859268,0.4126916,0.3677291,0.2823399,0.3267552
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023048000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-17,17.0,0.2333919,0.4579905,"(0.2333919,0.4579905)",0.3468487,0.0773446,0.0059822,0.4300164,0.4579905,0.328761,0.2333919,0.2744111
