File,aid,Date,2061,2062,2065,2066,2070,2111,2116,2118,2120,2122,2124,2175,2185,2186,2189,2190,2193,2239,2257,2258,2261,2262,2265,2266,2303,2321,2322,2325,2326,2367,2376,2378,2380,2382,2431,2445,2446,2449,2450,2453,2495,2517,2518,2521,2522,2526,2559,3098,3102,3135,3154,3158,3199,3222,3226,3230,3263,3294,3298,3302,3327,3358,3362,3414,3418,3455,3482,3486,3519,3554,3558,3562,3583,4109,4110,4113,4114,4118,4159,4164,4166,4168,4170,4172,4174,4223,4237,4287,4369,4370,4373,4374,4377,4378,4415,5146,5150,5154,5183,5202,5206,5210,5247,5406,5410,5414,5439,6157,6158,6161,6162,6166,6207,6212,6214,6216,6218,6220,6222,6271,6285,6335,6353,6357,6399,6417,6418,6421,6422,6425,6426,6463,6613,7194,7198,7202,7231,7250,7254,7258,7295,7322,7359,7423,7454,7458,7462,7487,34837,34838,34841,34842,34892,34894,34896,34898,34943,34961,34962,34965,34966,35007,35033,35034,35037,35038,35071,35097,35098,35101,35102,35152,35154,35156,35158,35160,35199,35221,35222,35225,35226,35263,35293,35294,35297,35298,35302,35327,35874,35878,35903,35930,35934,35967,35998,36002,36031,36070,36074,36095,36134,36138,36190,36194,36223,36258,36262,36287,36330,36334,36338,36351,36885,36886,36889,36890,36894,36940,36942,36944,36946,36948,36950,36991,37013,37055,37145,37146,37149,37150,37153,37154,37183,37926,37930,37978,37982,37986,38015,38182,38186,38190,38207,38933,38934,38937,38938,38975,38988,38990,38992,38994,38996,38998,39039,39167,39193,39194,39197,39198,39201,39202,39231,39389,39390,39393,39394,39423,39970,39974,40026,40030,40034,40063,40098,40127,40230,40234,40238,40255,40426,40430,40447
_250m_16_days_VI_Quality_2022353_aid0001,aid0001,2022-12-19 00:00:00+00:00,,63.0,,,,1.0,6614.0,,,,,,144826.0,,,,,8.0,48955.0,6663.0,912.0,335.0,,,2.0,,,,,,23.0,,,,1.0,141.0,,,,,10.0,132.0,251.0,,4.0,,4.0,9.0,,,24.0,,,3509.0,,,,41704.0,225.0,,2.0,,,,,,24.0,,,234.0,,,7.0,,1102,,229.0,,30.0,56372.0,3247.0,13413.0,4176.0,,,57.0,,,2550,483.0,256.0,224.0,,,107.0,798.0,472.0,,20.0,22322.0,6061.0,,15.0,1264.0,585.0,,44.0,,2223,,289,,75.0,5713.0,361.0,895.0,237.0,,,18.0,,,,6.0,,1240.0,143.0,167.0,166.0,,,86.0,,2560,349.0,,57.0,2419.0,1226.0,,,,,1.0,572.0,361.0,,13.0,,,,,,,,,,36.0,,,,,212.0,301.0,60.0,,,,,,,8.0,,,,,4.0,50.0,,,,2.0,24.0,276.0,,4.0,,,,,,,,,,,,216.0,4.0,4.0,,,,,8.0,,,,154.0,12.0,,2.0,,,,,,1155.0,292.0,636.0,223.0,,,10.0,,,888.0,303.0,281.0,484.0,,,26.0,,,460.0,300.0,,,1070.0,595.0,,32.0,,,,19.0,,503.0,112.0,117.0,226.0,,,10.0,,1467.0,256.0,163.0,223.0,,,49.0,,,,,,,,384.0,219.0,,3.0,,,1798.0,511.0,,21.0,,,
_250m_16_days_VI_Quality_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,,28.0,,,,,6009.0,,,,,,272608.0,,167.0,238.0,,24.0,3730.0,484.0,44.0,4.0,,,8.0,,,,,,60.0,,,20.0,,486.0,,,12.0,,26.0,163.0,30.0,,,,12.0,45.0,,,248.0,,,1988.0,167.0,,,509.0,12.0,,1.0,,,4.0,,,40.0,4.0,,92.0,4.0,,8.0,,529,13.0,394.0,,126.0,64685.0,1725.0,2910.0,634.0,,,157.0,,,3117,308.0,587.0,139.0,,,101.0,694.0,240.0,,33.0,3344.0,682.0,,20.0,989.0,256.0,,46.0,20.0,999,,1493,,377.0,8401.0,295.0,910.0,249.0,,,85.0,,,,,,2205.0,92.0,348.0,321.0,,,59.0,,1102,898.0,,233.0,579.0,417.0,,,,,,308.0,156.0,,16.0,,,,,24.0,,,,,284.0,,,,,92.0,20.0,,,,,,,,32.0,,,,,,14.0,,,,,15.0,24.0,,16.0,,1.0,,,,,,,4.0,12.0,,4.0,,,,,,,,4.0,,,23.0,4.0,,3.0,,,,,,2337.0,140.0,348.0,24.0,,,18.0,,,987.0,353.0,281.0,138.0,,,37.0,,,360.0,70.0,,4.0,583.0,156.0,,16.0,,,,,,1641.0,30.0,327.0,244.0,,,24.0,,1616.0,196.0,384.0,477.0,,,85.0,,,,,,,,112.0,165.0,,7.0,,,927.0,626.0,,44.0,,,
_250m_16_days_VI_Quality_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,,4.0,,,,,657.0,,,,,,13053.0,,,,,,197091.0,1271.0,3586.0,,,,,,,,,,,,,,,52.0,,,,,,733.0,8.0,115.0,8.0,,,20.0,,,,,,203.0,,,,26880.0,889.0,,,,,,,,32.0,,,753.0,48.0,,,,195,,122.0,,7.0,72917.0,1285.0,19475.0,4368.0,,,56.0,,,3088,68.0,206.0,120.0,,,41.0,304.0,133.0,,11.0,12910.0,7679.0,,8.0,1082.0,370.0,,3.0,52.0,1290,140.0,607,,101.0,10157.0,161.0,561.0,332.0,,,66.0,,,,,,2132.0,16.0,166.0,128.0,,,17.0,,830,322.0,,28.0,1656.0,698.0,,6.0,,,,324.0,153.0,,2.0,,,,,,,,,,4.0,,,,,207.0,51.0,92.0,16.0,,,,,,,,,,,,,,,,,125.0,,24.0,,,,,,,,,,,,,267.0,20.0,,,,,,,,,,280.0,8.0,,,,,,,,1637.0,,440.0,120.0,,,8.0,,,823.0,28.0,76.0,80.0,,,9.0,,,518.0,320.0,,,792.0,101.0,,8.0,12.0,,16.0,,,936.0,8.0,340.0,357.0,,,4.0,,1945.0,36.0,284.0,214.0,,,19.0,,,,,,,,269.0,180.0,,,,,1239.0,184.0,,7.0,,,
_250m_16_days_VI_Quality_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,,,,,,,7320.0,,368.0,,,,265046.0,,60.0,,,1.0,148.0,,12.0,,,,,,,,,,8.0,,,,,32.0,,,,,,,,,,,,3.0,,,,,,96.0,,,,22.0,56.0,,,,,,,,,,,,,,,,52,,16.0,,3.0,93495.0,,4768.0,314.0,,,71.0,,,868,,62.0,20.0,,,33.0,18.0,20.0,,6.0,162.0,1204.0,,3.0,13.0,72.0,,2.0,118.0,166,172.0,36,,37.0,18403.0,,3064.0,204.0,,,103.0,,,,,,669.0,,159.0,,,,43.0,,79,166.0,,20.0,106.0,1909.0,,23.0,,,,41.0,71.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,,54.0,,,,,,,184.0,,51.0,,,,12.0,,,4.0,22.0,,,42.0,24.0,,,13.0,,28.0,,3.0,327.0,,92.0,61.0,,,6.0,,299.0,,50.0,,,,13.0,,,,,,8.0,,,64.0,,,,,116.0,55.0,,12.0,,,
_250m_16_days_VI_Quality_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,20.0,,,,,30354.0,,,,,1.0,245313.0,,36.0,,,4.0,760.0,,145.0,,,,,,,,,,32.0,,,,,132.0,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,8.0,,,,61,,4.0,,,91444.0,,4234.0,48.0,,,65.0,,,866,,138.0,,,,41.0,32.0,11.0,,,,167.0,,,2.0,,,2.0,16.0,431,4.0,31,,6.0,19060.0,,3154.0,12.0,,,61.0,,,,,,918.0,,93.0,,,,29.0,,70,18.0,,3.0,12.0,401.0,,,,,,,28.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,28.0,,,,,,77.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,,450.0,,,,,,,393.0,,8.0,4.0,,,1.0,,,,92.0,,,8.0,,,,,,,,,544.0,,718.0,,,,23.0,,708.0,,43.0,,,,4.0,,,,,,,,,66.0,,,,,4.0,23.0,,,,,
_250m_16_days_VI_Quality_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,220.0,52.0,,,,,115604.0,,,,,,139901.0,,1124.0,,,,10463.0,,80.0,,,,,24.0,,,,,48.0,,,,,166.0,,,,,1.0,146.0,,12.0,,,,,,,,,,,,,,60.0,,,,,,,,,,,,48.0,40.0,,,20.0,133,,180.0,,1.0,94802.0,,7435.0,,,,16.0,,,845,,28.0,,,,1.0,52.0,111.0,,1.0,248.0,1328.0,,,76.0,168.0,,,52.0,467,56.0,124,,,17174.0,,2595.0,,,,7.0,,,,,1.0,1001.0,,186.0,,,,7.0,,237,207.0,,1.0,48.0,2285.0,,,,,,60.0,184.0,,3.0,,,,,48.0,,,,,,,,,,12.0,,,,,4.0,,,,,,,,,,54.0,,,,,57.0,,,,,,,,,,,,,,,8.0,32.0,,,,,,,,,,12.0,3.0,,,,,,,,549.0,,185.0,,,,,,,281.0,,32.0,,,,1.0,,,,176.0,,,14.0,81.0,,5.0,,,,,,696.0,,208.0,,,,2.0,2.0,699.0,,48.0,,,,,,,,,,,,12.0,267.0,,,,,108.0,167.0,,4.0,,,
_250m_16_days_VI_Quality_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,,24.0,,,,,89363.0,,40.0,,,,169163.0,,1490.0,,,8.0,5166.0,,195.0,,,,,,,,,,88.0,,8.0,,,370.0,,1.0,,,,128.0,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,516,,67.0,,3.0,95173.0,,9303.0,,,,19.0,,,1372,,210.0,,,,2.0,46.0,60.0,,,103.0,298.0,,6.0,19.0,49.0,,,92.0,885,85.0,148,,4.0,19294.0,,2115.0,,,,5.0,,,,,,1216.0,,106.0,,,,9.0,,161,115.0,,2.0,118.0,779.0,,,,,,46.0,128.0,,,,,,,8.0,,,,,20.0,,20.0,,,,,,,,,,,,4.0,,,,,,17.0,,,,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,,103.0,,,,1.0,,,425.0,,4.0,,,,3.0,,,,4.0,,,4.0,72.0,,,64.0,,,,,569.0,,191.0,,,,,,664.0,,64.0,,,,8.0,,,,,,,,12.0,110.0,,,,,112.0,97.0,,,,2.0,1.0
_250m_16_days_VI_Quality_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,9.0,,,,,159821.0,,24.0,,,,118357.0,,280.0,,,,71.0,,252.0,,,,,8.0,,,,,128.0,,,,,68.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,46.0,,,90093.0,,5304.0,,,,5.0,,,206,,28.0,,,,,,,,,,,,,,,,,260.0,194,371.0,28,,,22361.0,,3093.0,,,,10.0,,,,,,204.0,,20.0,,,,,,4,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,48.0,,,,,,,10.0,,8.0,,,,1.0,,,,,,,,,,,40.0,,18.0,,,74.0,,242.0,,,,,,13.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,,1.0,,4.0,,,85072.0,,2110.0,,,,150161.0,,22232.0,,,,772.0,8.0,344.0,3.0,,,,,,,,,93.0,,,,,88.0,,12.0,,,,24.0,,16.0,,,,,,,,,,52.0,,,,,,,,,,,,,,,,1.0,,,,,130,,153.0,,3.0,67325.0,,45164.0,40.0,,,52.0,,,601,,322.0,,,,9.0,28.0,,,,,,,,,,,,40.0,323,249.0,165,,17.0,12716.0,,10816.0,,,,26.0,,,,,,952.0,,449.0,,,,39.0,,12,1.0,,,,108.0,,,,,,,,,,,,,,,,,,,4.0,,,,,20.0,,,,,,,,,,,,,,,8.0,,,,,24.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,70.0,,157.0,,,,1.0,,,91.0,,50.0,,,,5.0,,,,4.0,,,,4.0,,,40.0,,131.0,,5.0,80.0,,242.0,,,,14.0,,85.0,,106.0,,,,6.0,,,,,,,,,,,,,,,12.0,,,,,
