File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2022353000000_aid0001,_250m_16_days_NDVI,aid0001,2022-12-19,401171.0,-0.2,0.999,"(-0.2,0.999)",0.444946,0.168173,0.0282822,0.5591,0.8571,0.4657,0.0624,0.3604
MOD13Q1_061__250m_16_days_NDVI_doy2023001000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-01,400329.0,-0.2,0.9894,"(-0.2,0.9894)",0.4602905,0.1807241,0.0326612,0.594,0.8893,0.4973,0.0095,0.3602
MOD13Q1_061__250m_16_days_NDVI_doy2023017000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-17,401499.0,-0.1998,0.9988,"(-0.1998,0.9988)",0.4642559,0.1707134,0.0291431,0.5881,0.9214,0.4911,0.0321,0.3657
MOD13Q1_061__250m_16_days_NDVI_doy2023033000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-02,401499.0,-0.2,0.9832,"(-0.2,0.9832)",0.5029447,0.1630844,0.0265965,0.6128,0.8826,0.5352,0.1596,0.4315
MOD13Q1_061__250m_16_days_NDVI_doy2023049000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-18,401658.0,-0.1997,0.9784,"(-0.1997,0.9784)",0.5514139,0.1729287,0.0299043,0.6604,0.9085,0.5851,0.2449,0.4942
MOD13Q1_061__250m_16_days_NDVI_doy2023065000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-06,401843.0,-0.2,0.9423,"(-0.2,0.9423)",0.5508659,0.1647933,0.0271568,0.6629,0.9256,0.5698,0.2149,0.4837
MOD13Q1_061__250m_16_days_NDVI_doy2023081000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-22,401826.0,-0.1997,0.9913,"(-0.1997,0.9913)",0.6279317,0.1939647,0.0376223,0.7732,0.9913,0.6663,0.1735,0.5333
MOD13Q1_061__250m_16_days_NDVI_doy2023097000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-07,401884.0,-0.1997,0.8623,"(-0.1997,0.8623)",0.5303044,0.1629673,0.0265583,0.652,0.8623,0.567,0.1468,0.4499
MOD13Q1_061__250m_16_days_NDVI_doy2023113000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-23,401723.0,-0.1995,0.9491,"(-0.1995,0.9491)",0.5232693,0.1480293,0.0219127,0.6223,0.8701,0.5496,0.2086,0.4568
MOD13Q1_061__250m_16_days_NDVI_doy2023129000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-09,401893.0,-0.1924,0.9781,"(-0.1924,0.9781)",0.5204748,0.1621957,0.0263075,0.631,0.9178,0.5365,0.145,0.4366
MOD13Q1_061__250m_16_days_NDVI_doy2023145000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-25,401875.0,-0.1981,0.9963,"(-0.1981,0.9963)",0.5856707,0.1725054,0.0297581,0.7067,0.9963,0.6164,0.2207,0.5123
MOD13Q1_061__250m_16_days_NDVI_doy2023161000000_aid0001,_250m_16_days_NDVI,aid0001,2023-06-10,401671.0,-0.2,0.9995,"(-0.2,0.9995)",0.5056265,0.1828505,0.0334343,0.6412,0.9995,0.5321,0.0245,0.3945
