File,aid,Date,2,17,65,81,97,129,145
QC_Day_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,7839.0,,16150,41.0,,,1.0
QC_Day_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,3021.0,1.0,15472,22.0,,,3.0
QC_Day_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,76.0,9.0,9914,35.0,,,7.0
QC_Day_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,6863.0,,17368,32.0,,,13.0
QC_Day_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,,11.0,7421,39.0,,,
QC_Day_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,,10.0,7809,36.0,,,2.0
QC_Day_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,9.0,889,36.0,,,
QC_Day_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,5.0,8850,49.0,,,3.0
QC_Day_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,2.0,30,33.0,,,
QC_Day_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,19.0,128,28.0,,,
QC_Day_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,12590.0,11.0,6709,44.0,,,4.0
QC_Day_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,159.0,3.0,17335,61.0,,,
QC_Day_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,,25.0,1629,23.0,,,
QC_Day_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,7.0,133,33.0,,,
QC_Day_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,,18.0,1743,42.0,,,
QC_Day_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,1224.0,2.0,15632,47.0,,697.0,1.0
QC_Day_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,23.0,3.0,13470,30.0,,138.0,14.0
QC_Day_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,10.0,37.0,3696,6.0,,70.0,
QC_Day_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,1264.0,10.0,18330,30.0,,296.0,5.0
QC_Day_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,6.0,,22432,44.0,,72.0,11.0
QC_Day_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,2.0,11.0,9498,51.0,,5.0,
QC_Day_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,4634.0,22.0,8773,21.0,,83.0,
QC_Day_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,20145.0,,4886,10.0,,489.0,7.0
QC_Day_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,23904.0,,1637,,,,
QC_Day_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,20751.0,,3580,4.0,,1189.0,5.0
QC_Day_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,17392.0,,7145,22.0,8.0,863.0,1.0
QC_Day_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,17024.0,,5774,17.0,3.0,2702.0,13.0
QC_Day_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,17331.0,,6789,15.0,,1354.0,25.0
QC_Day_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,25435.0,,106,,,,
QC_Day_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,17621.0,,5207,27.0,,2443.0,4.0
QC_Day_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,20239.0,,5262,17.0,,,
QC_Day_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,17552.0,,7389,22.0,1.0,432.0,11.0
QC_Day_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,9678.0,,14017,31.0,,352.0,6.0
QC_Day_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,9697.0,,15094,24.0,,349.0,15.0
QC_Day_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,9472.0,,7398,3.0,,8661.0,3.0
QC_Day_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,19929.0,,5567,14.0,,,
QC_Day_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,108.0,,18269,47.0,,1.0,6.0
QC_Day_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,,12.0,6423,50.0,,,
QC_Day_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,16.0,4.0,17968,47.0,,,
QC_Day_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,,9.0,5592,37.0,,,
QC_Day_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,,,8650,48.0,,,
QC_Day_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,491.0,2.0,19583,43.0,,4.0,3.0
QC_Day_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,8.0,17.0,6463,32.0,,1.0,
QC_Day_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,4132.0,,17688,31.0,,,13.0
QC_Day_2023345_aid0001,aid0001,2023-12-11 00:00:00+00:00,417.0,3.0,15795,32.0,,,26.0
QC_Day_2023353_aid0001,aid0001,2023-12-19 00:00:00+00:00,880.0,,19639,51.0,,241.0,1.0
QC_Day_2023361_aid0001,aid0001,2023-12-27 00:00:00+00:00,433.0,7.0,11806,31.0,,,14.0
QC_Day_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,86.0,1.0,11357,40.0,,,13.0
QC_Day_2024009_aid0001,aid0001,2024-01-09 00:00:00+00:00,1178.0,,16053,41.0,,,3.0
QC_Day_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,5437.0,2.0,15957,34.0,,5.0,6.0
QC_Day_2024025_aid0001,aid0001,2024-01-25 00:00:00+00:00,312.0,4.0,9335,41.0,,,15.0
QC_Day_2024033_aid0001,aid0001,2024-02-02 00:00:00+00:00,,28.0,2643,22.0,,,
QC_Day_2024041_aid0001,aid0001,2024-02-10 00:00:00+00:00,,4.0,4599,53.0,,,
QC_Day_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,2663.0,9.0,12652,35.0,,,
QC_Day_2024057_aid0001,aid0001,2024-02-26 00:00:00+00:00,,22.0,782,28.0,,,
QC_Day_2024065_aid0001,aid0001,2024-03-05 00:00:00+00:00,,7.0,36,30.0,,,
QC_Day_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,156.0,,11799,25.0,,83.0,8.0
QC_Day_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,71.0,23.0,5069,41.0,,,
QC_Day_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,71.0,20.0,6425,35.0,,,
QC_Day_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,150.0,,15223,1.0,,1252.0,30.0
