File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD11A2_061_LST_Day_1km_doy2022361000000_aid0001,LST_Day_1km,aid0001,2022-12-27,17702.0,293.2,301.78,"(293.2,301.78)",297.965431,0.9806111,0.961598,298.6,300.46,298.0,295.5,297.36
MYD11A2_061_LST_Day_1km_doy2023001000000_aid0001,LST_Day_1km,aid0001,2023-01-01,22520.0,291.42,302.9,"(291.42,302.9)",296.6934742,1.7134179,2.935801,297.72,301.08,296.56,292.14,295.48
MYD11A2_061_LST_Day_1km_doy2023009000000_aid0001,LST_Day_1km,aid0001,2023-01-09,25465.0,292.84,303.56,"(292.84,303.56)",298.9189617,1.2496606,1.5616516,299.74,302.1,298.96,295.8,298.16
MYD11A2_061_LST_Day_1km_doy2023017000000_aid0001,LST_Day_1km,aid0001,2023-01-17,18678.0,292.68,304.66,"(292.68,304.66)",298.5134736,1.0761674,1.1581362,299.14,301.0,298.5,296.04,297.9
MYD11A2_061_LST_Day_1km_doy2023025000000_aid0001,LST_Day_1km,aid0001,2023-01-25,25541.0,295.62,306.58,"(295.62,306.58)",301.590204,1.044419,1.0908111,302.22,304.1,301.6,299.08,300.96
MYD11A2_061_LST_Day_1km_doy2023033000000_aid0001,LST_Day_1km,aid0001,2023-02-02,25541.0,295.4,307.16,"(295.4,307.16)",301.2519964,1.1052761,1.2216353,301.9,303.9,301.26,298.56,300.56
MYD11A2_061_LST_Day_1km_doy2023041000000_aid0001,LST_Day_1km,aid0001,2023-02-10,25541.0,297.3,308.44,"(297.3,308.44)",301.6846921,1.2834479,1.6472386,302.34,304.5,301.66,298.74,300.9
MYD11A2_061_LST_Day_1km_doy2023049000000_aid0001,LST_Day_1km,aid0001,2023-02-18,25541.0,297.58,310.2,"(297.58,310.2)",304.3974026,1.4755792,2.1773339,305.34,308.3,304.28,300.4,303.36
MYD11A2_061_LST_Day_1km_doy2023057000000_aid0001,LST_Day_1km,aid0001,2023-02-26,25541.0,300.52,313.5,"(300.52,313.5)",305.453593,1.5962904,2.5481432,306.48,309.78,305.3,301.24,304.28
MYD11A2_061_LST_Day_1km_doy2023065000000_aid0001,LST_Day_1km,aid0001,2023-03-06,25541.0,300.38,313.48,"(300.38,313.48)",306.0573321,2.0709659,4.2888996,307.6,312.3,305.74,300.38,304.46
MYD11A2_061_LST_Day_1km_doy2023073000000_aid0001,LST_Day_1km,aid0001,2023-03-14,12951.0,283.88,317.84,"(283.88,317.84)",305.0339402,2.7998104,7.8389381,306.74,312.02,305.12,297.94,303.22
MYD11A2_061_LST_Day_1km_doy2023081000000_aid0001,LST_Day_1km,aid0001,2023-03-22,25382.0,297.32,314.26,"(297.32,314.26)",305.2988961,1.9517074,3.8091618,306.56,310.64,305.02,299.8,303.84
MYD11A2_061_LST_Day_1km_doy2023089000000_aid0001,LST_Day_1km,aid0001,2023-03-30,25541.0,299.44,314.48,"(299.44,314.48)",306.5195537,2.1075058,4.4415806,307.96,312.6,306.26,300.28,304.86
MYD11A2_061_LST_Day_1km_doy2023097000000_aid0001,LST_Day_1km,aid0001,2023-04-07,25541.0,302.16,319.36,"(302.16,319.36)",309.5544896,2.7133906,7.3624886,311.54,317.8,309.1,302.16,307.34
MYD11A2_061_LST_Day_1km_doy2023105000000_aid0001,LST_Day_1km,aid0001,2023-04-15,25541.0,302.8,322.2,"(302.8,322.2)",310.5686277,2.611053,6.8175979,312.26,317.62,310.28,303.34,308.68
MYD11A2_061_LST_Day_1km_doy2023113000000_aid0001,LST_Day_1km,aid0001,2023-04-23,24317.0,293.14,318.18,"(293.14,318.18)",306.8917909,2.6933684,7.2542332,308.4,313.22,306.68,300.36,305.18
MYD11A2_061_LST_Day_1km_doy2023121000000_aid0001,LST_Day_1km,aid0001,2023-05-01,25518.0,301.22,319.98,"(301.22,319.98)",309.3271322,2.3700666,5.6172156,310.66,315.22,309.06,303.16,307.62
MYD11A2_061_LST_Day_1km_doy2023129000000_aid0001,LST_Day_1km,aid0001,2023-05-09,25531.0,298.86,318.58,"(298.86,318.58)",308.3979899,2.2746109,5.1738548,309.82,314.38,308.44,302.22,306.78
MYD11A2_061_LST_Day_1km_doy2023137000000_aid0001,LST_Day_1km,aid0001,2023-05-17,24277.0,289.68,310.76,"(289.68,310.76)",303.7546921,2.1703228,4.7103012,305.24,309.74,303.76,297.76,302.24
MYD11A2_061_LST_Day_1km_doy2023145000000_aid0001,LST_Day_1km,aid0001,2023-05-25,25535.0,299.28,314.78,"(299.28,314.78)",306.0214889,1.6855264,2.8409993,307.04,310.3,305.92,301.6,304.86
MYD11A2_061_LST_Day_1km_doy2023153000000_aid0001,LST_Day_1km,aid0001,2023-06-02,25539.0,301.76,320.6,"(301.76,320.6)",308.8399828,2.3443149,5.4958124,310.46,315.5,308.84,302.3,307.1
MYD11A2_061_LST_Day_1km_doy2023161000000_aid0001,LST_Day_1km,aid0001,2023-06-10,20907.0,285.32,317.16,"(285.32,317.16)",306.5498819,2.767831,7.6608885,308.34,313.2,306.54,300.24,305.1
MYD11A2_061_LST_Day_1km_doy2023169000000_aid0001,LST_Day_1km,aid0001,2023-06-18,5396.0,279.12,313.76,"(279.12,313.76)",300.3299148,4.6042126,21.1987738,303.46,311.86,301.0,289.46,297.82
MYD11A2_061_LST_Day_1km_doy2023177000000_aid0001,LST_Day_1km,aid0001,2023-06-26,1637.0,274.96,307.8,"(274.96,307.8)",301.3231521,3.7307786,13.9187092,303.46,307.8,302.18,295.56,300.3
MYD11A2_061_LST_Day_1km_doy2023185000000_aid0001,LST_Day_1km,aid0001,2023-07-04,4790.0,287.66,309.54,"(287.66,309.54)",300.880785,3.3173604,11.0048802,303.215,309.24,301.38,292.88,299.06
MYD11A2_061_LST_Day_1km_doy2023193000000_aid0001,LST_Day_1km,aid0001,2023-07-12,8149.0,274.72,312.16,"(274.72,312.16)",301.223571,4.4511193,19.8124634,304.0,309.9,302.0,293.2,299.68
MYD11A2_061_LST_Day_1km_doy2023201000000_aid0001,LST_Day_1km,aid0001,2023-07-20,8517.0,262.62,312.5,"(262.62,312.5)",300.8410872,4.5640382,20.8304446,304.2,312.5,301.44,288.76,297.96
MYD11A2_061_LST_Day_1km_doy2023209000000_aid0001,LST_Day_1km,aid0001,2023-07-28,8210.0,282.26,316.08,"(282.26,316.08)",303.4430914,3.5207815,12.3959022,305.56,311.82,303.04,295.08,301.36
MYD11A2_061_LST_Day_1km_doy2023217000000_aid0001,LST_Day_1km,aid0001,2023-08-05,106.0,274.7,302.8,"(274.7,302.8)",296.2913208,6.212803,38.5989209,298.745,302.8,297.98,292.8,295.7
MYD11A2_061_LST_Day_1km_doy2023225000000_aid0001,LST_Day_1km,aid0001,2023-08-13,7920.0,275.06,307.52,"(275.06,307.52)",300.8078763,3.0323232,9.194984,302.84,307.52,301.38,293.74,299.2
MYD11A2_061_LST_Day_1km_doy2023233000000_aid0001,LST_Day_1km,aid0001,2023-08-21,5302.0,292.96,308.86,"(292.96,308.86)",303.625696,1.7170655,2.9483138,304.8,307.62,304.0,299.7,302.76
MYD11A2_061_LST_Day_1km_doy2023241000000_aid0001,LST_Day_1km,aid0001,2023-08-29,7989.0,271.6,309.48,"(271.6,309.48)",303.9946226,3.2808291,10.7638397,305.84,308.98,305.06,300.54,303.72
MYD11A2_061_LST_Day_1km_doy2023249000000_aid0001,LST_Day_1km,aid0001,2023-09-06,15863.0,282.68,311.58,"(282.68,311.58)",303.8867352,2.3921592,5.7224256,305.66,309.42,304.48,297.76,302.5
MYD11A2_061_LST_Day_1km_doy2023257000000_aid0001,LST_Day_1km,aid0001,2023-09-14,15844.0,276.58,311.06,"(276.58,311.06)",303.7309732,2.1166249,4.4801012,305.0,308.24,304.14,299.6,302.84
MYD11A2_061_LST_Day_1km_doy2023265000000_aid0001,LST_Day_1km,aid0001,2023-09-22,16069.0,285.86,306.68,"(285.86,306.68)",300.5059033,2.5210357,6.3556212,302.24,306.68,300.92,294.64,299.2
MYD11A2_061_LST_Day_1km_doy2023273000000_aid0001,LST_Day_1km,aid0001,2023-09-30,5612.0,279.6,305.9,"(279.6,305.9)",300.2245937,2.5962671,6.7406026,301.68,304.88,300.68,296.24,299.5
