File,aid,Date,7,8,9,13,15
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023002_aid0001,aid0001,2023-01-02 00:00:00+00:00,8.0,12.0,10.0,2.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023003_aid0001,aid0001,2023-01-03 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023004_aid0001,aid0001,2023-01-04 00:00:00+00:00,1.0,15.0,15.0,1.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023005_aid0001,aid0001,2023-01-05 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023006_aid0001,aid0001,2023-01-06 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023007_aid0001,aid0001,2023-01-07 00:00:00+00:00,1.0,14.0,14.0,4.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023008_aid0001,aid0001,2023-01-08 00:00:00+00:00,5.0,8.0,15.0,5.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023010_aid0001,aid0001,2023-01-10 00:00:00+00:00,9.0,12.0,7.0,2.0,3.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023011_aid0001,aid0001,2023-01-11 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023012_aid0001,aid0001,2023-01-12 00:00:00+00:00,2.0,11.0,13.0,6.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023013_aid0001,aid0001,2023-01-13 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023014_aid0001,aid0001,2023-01-14 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023015_aid0001,aid0001,2023-01-15 00:00:00+00:00,,11.0,15.0,7.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023016_aid0001,aid0001,2023-01-16 00:00:00+00:00,4.0,7.0,12.0,9.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023018_aid0001,aid0001,2023-01-18 00:00:00+00:00,9.0,11.0,8.0,4.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023019_aid0001,aid0001,2023-01-19 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023020_aid0001,aid0001,2023-01-20 00:00:00+00:00,1.0,11.0,14.0,7.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023021_aid0001,aid0001,2023-01-21 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023022_aid0001,aid0001,2023-01-22 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023023_aid0001,aid0001,2023-01-23 00:00:00+00:00,1.0,12.0,13.0,7.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023024_aid0001,aid0001,2023-01-24 00:00:00+00:00,3.0,5.0,14.0,11.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023026_aid0001,aid0001,2023-01-26 00:00:00+00:00,9.0,10.0,10.0,4.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023027_aid0001,aid0001,2023-01-27 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023028_aid0001,aid0001,2023-01-28 00:00:00+00:00,1.0,12.0,15.0,5.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023029_aid0001,aid0001,2023-01-29 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023030_aid0001,aid0001,2023-01-30 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023031_aid0001,aid0001,2023-01-31 00:00:00+00:00,3.0,10.0,12.0,7.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023032_aid0001,aid0001,2023-02-01 00:00:00+00:00,3.0,5.0,14.0,10.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023034_aid0001,aid0001,2023-02-03 00:00:00+00:00,8.0,7.0,8.0,9.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023035_aid0001,aid0001,2023-02-04 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023036_aid0001,aid0001,2023-02-05 00:00:00+00:00,,11.0,15.0,7.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023037_aid0001,aid0001,2023-02-06 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023038_aid0001,aid0001,2023-02-07 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023039_aid0001,aid0001,2023-02-08 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023040_aid0001,aid0001,2023-02-09 00:00:00+00:00,7.0,5.0,13.0,7.0,1.0
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023042_aid0001,aid0001,2023-02-11 00:00:00+00:00,8.0,11.0,10.0,4.0,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023043_aid0001,aid0001,2023-02-12 00:00:00+00:00,33.0,,,,
Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_2023044_aid0001,aid0001,2023-02-13 00:00:00+00:00,3.0,7.0,14.0,9.0,
