File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023002000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-02,21.0,0.211412,0.4768226,"(0.211412,0.4768226)",0.3313393,0.0577121,0.0033307,0.3660898,0.4225371,0.317419,0.211412,0.2991237
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023004000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-04,26.0,0.2410311,0.4717787,"(0.2410311,0.4717787)",0.3517912,0.0651399,0.0042432,0.3960835,0.4717787,0.3526478,0.2410311,0.2912417
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023007000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-07,27.0,0.2815791,0.4998491,"(0.2815791,0.4998491)",0.383059,0.059333,0.0035204,0.4245542,0.4998491,0.3701301,0.2815791,0.3429103
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023008000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-08,22.0,0.2467429,0.4998491,"(0.2467429,0.4998491)",0.3883748,0.0720433,0.0051902,0.4397465,0.4998491,0.4001543,0.2467429,0.3320983
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023010000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-10,19.0,0.2845243,0.4998491,"(0.2845243,0.4998491)",0.3852641,0.0619419,0.0038368,0.4100996,0.4998491,0.3989372,0.2845243,0.3264566
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023012000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-12,22.0,0.2879443,0.4998491,"(0.2879443,0.4998491)",0.3978805,0.0584457,0.0034159,0.4442875,0.4998491,0.4017754,0.2879443,0.3541777
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023015000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-15,27.0,0.23304,0.4998491,"(0.23304,0.4998491)",0.3697268,0.0739256,0.005465,0.4070812,0.4998491,0.3794403,0.23304,0.3147729
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023016000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-16,22.0,0.2424731,0.4998491,"(0.2424731,0.4998491)",0.4115851,0.0745295,0.0055546,0.4758,0.4998491,0.4294522,0.2424731,0.3819709
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023018000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-18,20.0,0.2850631,0.4998491,"(0.2850631,0.4998491)",0.3887651,0.059523,0.003543,0.4227869,0.4998491,0.3961842,0.2850631,0.3500705
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023020000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-20,26.0,0.255731,0.4998491,"(0.255731,0.4998491)",0.4031676,0.071359,0.0050921,0.4664899,0.4998491,0.4178812,0.255731,0.364485
