File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD13Q1_061__250m_16_days_NDVI_doy2022361000000_aid0001,_250m_16_days_NDVI,aid0001,2022-12-27,304635.0,-0.1997,0.8205,"(-0.1997,0.8205)",0.4585995,0.1200425,0.0144102,0.5409,0.7685,0.4653,0.1612,0.389
MYD13Q1_061__250m_16_days_NDVI_doy2023009000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-09,304720.0,-0.2,0.8507,"(-0.2,0.8507)",0.4845492,0.1392521,0.0193911,0.5841,0.8507,0.4968,0.1191,0.3981
MYD13Q1_061__250m_16_days_NDVI_doy2023025000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-25,304836.0,-0.2,0.8523,"(-0.2,0.8523)",0.4690314,0.1458933,0.0212849,0.5792,0.8523,0.4746,0.0441,0.3651
MYD13Q1_061__250m_16_days_NDVI_doy2023041000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-10,304891.0,-0.1744,0.856,"(-0.1744,0.856)",0.4371212,0.1247454,0.0155614,0.5219,0.7784,0.4323,0.0944,0.3509
MYD13Q1_061__250m_16_days_NDVI_doy2023057000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-26,304888.0,-0.2,0.9057,"(-0.2,0.9057)",0.543663,0.139048,0.0193343,0.6299,0.894,0.5357,0.1897,0.4538
MYD13Q1_061__250m_16_days_NDVI_doy2023073000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-14,304873.0,-0.1826,0.9842,"(-0.1826,0.9842)",0.6662937,0.1389083,0.0192955,0.7695,0.9842,0.6806,0.3045,0.5835
MYD13Q1_061__250m_16_days_NDVI_doy2023089000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-30,304861.0,-0.1974,0.9168,"(-0.1974,0.9168)",0.6380186,0.1434027,0.0205643,0.7471,0.9168,0.6607,0.2626,0.5533
MYD13Q1_061__250m_16_days_NDVI_doy2023105000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-15,304883.0,-0.1968,0.8908,"(-0.1968,0.8908)",0.5982267,0.1327499,0.0176225,0.68985,0.8908,0.6152,0.279,0.5255
MYD13Q1_061__250m_16_days_NDVI_doy2023121000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-01,304870.0,-0.1989,0.9956,"(-0.1989,0.9956)",0.5359853,0.1141189,0.0130231,0.6127,0.8249,0.5446,0.259,0.4712
MYD13Q1_061__250m_16_days_NDVI_doy2023137000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-17,304395.0,-0.2,0.992,"(-0.2,0.992)",0.5335994,0.119835,0.0143604,0.6138,0.8445,0.5362,0.2284,0.4595
MYD13Q1_061__250m_16_days_NDVI_doy2023153000000_aid0001,_250m_16_days_NDVI,aid0001,2023-06-02,304889.0,-0.1399,0.8525,"(-0.1399,0.8525)",0.5065494,0.1127092,0.0127034,0.5788,0.794,0.503,0.2201,0.4353
