File,aid,Date,2,17,65,81,97,129,145,161
QC_Day_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,10550.0,10.0,4532,28.0,,,7.0,
QC_Day_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,1657.0,10.0,11002,48.0,,,3.0,
QC_Day_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,715.0,11.0,6981,37.0,,,1.0,
QC_Day_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,6199.0,,12293,38.0,,,20.0,
QC_Day_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,1050.0,24.0,6326,46.0,,,1.0,
QC_Day_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,1.0,10.0,5381,46.0,,,,
QC_Day_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,3.0,843,39.0,,,,
QC_Day_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,3.0,3586,43.0,,,1.0,
QC_Day_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,9.0,247,34.0,,,,
QC_Day_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,4.0,6,34.0,,,,
QC_Day_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,1322.0,27.0,5087,51.0,,,6.0,
QC_Day_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,,11.0,2281,45.0,,,,
QC_Day_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,,2.0,6139,40.0,,,,
QC_Day_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,17.0,1,23.0,,,,
QC_Day_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,,11.0,1366,49.0,,,,
QC_Day_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,316.0,20.0,11524,34.0,,609.0,9.0,
QC_Day_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,,12.0,3889,28.0,,,,
QC_Day_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,10.0,,9585,47.0,,40.0,,
QC_Day_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,7.0,28.0,5082,25.0,,,,
QC_Day_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,136.0,3.0,16625,48.0,,119.0,,
QC_Day_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,,2.0,7743,48.0,,1.0,3.0,
QC_Day_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,11519.0,,4645,25.0,,135.0,,
QC_Day_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,15222.0,,3957,1.0,,72.0,16.0,
QC_Day_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,18834.0,,524,,,17.0,,
QC_Day_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,17117.0,,922,,,1259.0,,
QC_Day_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,15575.0,,3427,,,299.0,10.0,
QC_Day_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,15028.0,,2382,1.0,,1915.0,,
QC_Day_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,16017.0,,1959,7.0,,1243.0,7.0,
QC_Day_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,19258.0,,117,,,,,
QC_Day_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,13837.0,,4300,5.0,1.0,1129.0,6.0,
QC_Day_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,10729.0,,8251,38.0,,,,
QC_Day_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,5326.0,2.0,12795,10.0,,774.0,24.0,
QC_Day_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,5482.0,,13605,19.0,,10.0,1.0,
QC_Day_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,1755.0,,15446,53.0,,1536.0,8.0,
QC_Day_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,2630.0,,13567,4.0,,2755.0,20.0,
QC_Day_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,15428.0,,3769,4.0,,,,
QC_Day_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,9.0,,8800,39.0,,,,
QC_Day_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,32.0,14.0,12991,35.0,,1.0,1.0,
QC_Day_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,10.0,1.0,14810,50.0,,,,
QC_Day_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,5.0,6.0,4938,37.0,,,,
QC_Day_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,,31.0,2963,27.0,,,,
QC_Day_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,45.0,,17649,46.0,,,,
QC_Day_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,,29.0,637,26.0,,,,
QC_Day_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,3779.0,1.0,10769,30.0,,,22.0,
QC_Day_2023345_aid0001,aid0001,2023-12-11 00:00:00+00:00,229.0,11.0,8759,43.0,,,3.0,
QC_Day_2023353_aid0001,aid0001,2023-12-19 00:00:00+00:00,125.0,6.0,13451,37.0,,,,
QC_Day_2023361_aid0001,aid0001,2023-12-27 00:00:00+00:00,93.0,8.0,5813,46.0,,,,
QC_Day_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,349.0,6.0,7420,43.0,,,1.0,
QC_Day_2024009_aid0001,aid0001,2024-01-09 00:00:00+00:00,8035.0,4.0,8691,16.0,,,1.0,
QC_Day_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,5390.0,2.0,11070,49.0,,,18.0,
QC_Day_2024025_aid0001,aid0001,2024-01-25 00:00:00+00:00,272.0,12.0,6242,35.0,,,,
QC_Day_2024033_aid0001,aid0001,2024-02-02 00:00:00+00:00,,12.0,3980,44.0,,,,
QC_Day_2024041_aid0001,aid0001,2024-02-10 00:00:00+00:00,39.0,11.0,3918,52.0,,,5.0,
QC_Day_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,4.0,9.0,2785,42.0,,,,
QC_Day_2024057_aid0001,aid0001,2024-02-26 00:00:00+00:00,,34.0,776,23.0,,,,
QC_Day_2024065_aid0001,aid0001,2024-03-05 00:00:00+00:00,,11.0,4,31.0,,,,
QC_Day_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,96.0,18.0,5745,29.0,,,,
QC_Day_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,716.0,49.0,3648,16.0,,,,
QC_Day_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,,19.0,23,35.0,,,,
QC_Day_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,3224.0,1.0,8948,19.0,,1854.0,,
QC_Day_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,,18.0,3038,33.0,,,,
QC_Day_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,,10.0,1404,45.0,,,,
QC_Day_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,,,283,31.0,,,,
QC_Day_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,1213.0,3.0,13932,31.0,,1324.0,24.0,
QC_Day_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,6644.0,,9125,44.0,,1742.0,6.0,
QC_Day_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,1584.0,16.0,12370,67.0,,,3.0,
QC_Day_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,1498.0,1.0,11172,51.0,,313.0,,
QC_Day_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,6580.0,11.0,9955,60.0,,13.0,,
QC_Day_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,16368.0,,1916,6.0,,965.0,2.0,
QC_Day_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,18330.0,,577,,2.0,466.0,,
QC_Day_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,16943.0,,2076,9.0,1.0,325.0,9.0,
