File,aid,Date,2,17,33,65,81,97,129,145
QC_Night_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,16.0,12.0,,2053.0,36.0,,,
QC_Night_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,1.0,5.0,,2486.0,46.0,,,3.0
QC_Night_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,,29.0,,43.0,14.0,,,
QC_Night_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,,30.0,,1954.0,12.0,,,
QC_Night_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,,28.0,,1084.0,15.0,,,
QC_Night_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,2.0,21.0,,1646.0,31.0,,,
QC_Night_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,33.0,,709.0,17.0,,,
QC_Night_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,18.0,,1335.0,31.0,,,
QC_Night_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,20.0,,405.0,19.0,,,
QC_Night_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,24.0,,2626.0,33.0,,,
QC_Night_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,10310.0,,,7255.0,26.0,,16.0,20.0
QC_Night_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,,21.0,,2098.0,34.0,,,
QC_Night_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,2.0,44.0,,3362.0,3.0,,,
QC_Night_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,43.0,,1357.0,1.0,,,
QC_Night_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,,25.0,,2475.0,18.0,,,
QC_Night_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,,40.0,,1075.0,,,,
QC_Night_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,,53.0,,237.0,2.0,,,
QC_Night_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,,33.0,,3612.0,,,,
QC_Night_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,215.0,45.0,,3481.0,20.0,,,
QC_Night_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,,36.0,,631.0,20.0,,,
QC_Night_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,,45.0,,323.0,9.0,,,
QC_Night_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,11342.0,4.0,,4394.0,6.0,,,
QC_Night_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,6902.0,25.0,,4259.0,21.0,,,
QC_Night_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,3793.0,29.0,,3449.0,,,,
QC_Night_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,17939.0,,,1088.0,,,,
QC_Night_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,19359.0,,,16.0,,,,
QC_Night_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,19375.0,,,,,,,
QC_Night_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,19358.0,,,17.0,,,,
QC_Night_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,2804.0,25.0,,4503.0,20.0,,625.0,
QC_Night_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,2950.0,46.0,,1337.0,,,51.0,
QC_Night_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,19210.0,,,145.0,,,,
QC_Night_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,609.0,64.0,,1318.0,2.0,,,
QC_Night_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,15405.0,4.0,2.0,3043.0,5.0,4.0,,
QC_Night_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,12783.0,,,4989.0,5.0,,,
QC_Night_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,,43.0,,165.0,9.0,,,
QC_Night_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,,44.0,,,,,,
QC_Night_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,,28.0,,897.0,16.0,,,
