File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD11A2_061_LST_Day_1km_doy2022361000000_aid0001,LST_Day_1km,aid0001,2022-12-27,8825.0,293.22,301.6,"(293.22,301.6)",297.2693326,1.0382999,1.0780666,297.96,299.98,297.26,294.52,296.58
MYD11A2_061_LST_Day_1km_doy2023001000000_aid0001,LST_Day_1km,aid0001,2023-01-01,17718.0,291.68,301.8,"(291.68,301.8)",295.923208,1.5058188,2.2674901,296.9,299.96,295.76,291.84,294.86
MYD11A2_061_LST_Day_1km_doy2023009000000_aid0001,LST_Day_1km,aid0001,2023-01-09,18660.0,292.28,304.64,"(292.28,304.64)",297.9539732,1.408558,1.9840356,298.76,301.42,297.78,294.34,296.98
MYD11A2_061_LST_Day_1km_doy2023017000000_aid0001,LST_Day_1km,aid0001,2023-01-17,13176.0,292.32,303.7,"(292.32,303.7)",298.0613464,1.1621606,1.3506172,298.82,301.16,298.02,294.94,297.26
MYD11A2_061_LST_Day_1km_doy2023025000000_aid0001,LST_Day_1km,aid0001,2023-01-25,18325.0,295.32,306.9,"(295.32,306.9)",301.5090565,1.1678889,1.3639645,302.12,304.18,301.34,298.68,300.74
MYD11A2_061_LST_Day_1km_doy2023033000000_aid0001,LST_Day_1km,aid0001,2023-02-02,19374.0,296.62,305.64,"(296.62,305.64)",300.9894095,0.9116092,0.8310313,301.54,303.22,300.94,298.74,300.42
MYD11A2_061_LST_Day_1km_doy2023041000000_aid0001,LST_Day_1km,aid0001,2023-02-10,19375.0,296.5,306.08,"(296.5,306.08)",300.7954426,0.9795141,0.9594479,301.24,302.8,300.7,298.64,300.2
MYD11A2_061_LST_Day_1km_doy2023049000000_aid0001,LST_Day_1km,aid0001,2023-02-18,19375.0,296.74,310.3,"(296.74,310.3)",303.8793414,1.4620154,2.1374892,304.84,307.56,303.98,300.3,303.02
MYD11A2_061_LST_Day_1km_doy2023057000000_aid0001,LST_Day_1km,aid0001,2023-02-26,19375.0,299.6,311.26,"(299.6,311.26)",304.8451303,1.5355152,2.3578068,305.82,308.64,304.9,301.12,303.94
MYD11A2_061_LST_Day_1km_doy2023065000000_aid0001,LST_Day_1km,aid0001,2023-03-06,19375.0,299.12,313.44,"(299.12,313.44)",305.4223732,1.8937723,3.5863736,306.54,310.04,305.44,300.7,304.2
