File,aid,Date,2,17,33,65,81,97,129,145,161
QC_Night_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,16.0,30.0,,1524.0,42.0,,,,
QC_Night_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,10.0,6.0,,2154.0,38.0,,,,
QC_Night_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,,21.0,,342.0,27.0,,,,
QC_Night_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,,14.0,,1743.0,30.0,,,1.0,
QC_Night_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,,13.0,,2680.0,30.0,,,,
QC_Night_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,,10.0,,1673.0,40.0,,,,
QC_Night_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,26.0,,746.0,19.0,,,,
QC_Night_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,21.0,,1597.0,22.0,,,,
QC_Night_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,24.0,,1626.0,20.0,,,,
QC_Night_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,1.0,22.0,,940.0,33.0,,,,
QC_Night_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,52.0,17.0,,1201.0,17.0,,,,
QC_Night_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,,26.0,,834.0,26.0,,,,
QC_Night_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,,8.0,,2908.0,41.0,,,,
QC_Night_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,38.0,,106.0,4.0,,,,
QC_Night_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,,34.0,,106.0,,,,,
QC_Night_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,,22.0,,2019.0,31.0,,,,
QC_Night_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,,55.0,,802.0,2.0,,,,
QC_Night_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,,43.0,,1463.0,5.0,,,,
QC_Night_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,59.0,47.0,,2574.0,11.0,,,,
QC_Night_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,,65.0,,365.0,,,,,
QC_Night_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,,55.0,,395.0,3.0,,,,
QC_Night_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,6136.0,24.0,,5574.0,49.0,,,,
QC_Night_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,7373.0,47.0,,2567.0,30.0,,,,
QC_Night_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,15250.0,,,837.0,29.0,,,,
QC_Night_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,2088.0,20.0,10.0,2996.0,27.0,9.0,132.0,,4.0
QC_Night_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,13327.0,,,2546.0,17.0,,,,
QC_Night_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,16130.0,,,,,,,,
QC_Night_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,16110.0,,,20.0,,,,,
QC_Night_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,16089.0,,,41.0,,,,,
QC_Night_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,10411.0,,1.0,1614.0,4.0,2.0,,,
QC_Night_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,,81.0,,147.0,,,,,
QC_Night_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,14554.0,2.0,,416.0,3.0,,,,
QC_Night_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,,59.0,,150.0,,,,,
QC_Night_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,7798.0,26.0,,3160.0,3.0,,697.0,,
QC_Night_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,13855.0,,,2219.0,13.0,,,,
QC_Night_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,115.0,37.0,,5179.0,10.0,,,,
QC_Night_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,,38.0,,35.0,2.0,,,,
QC_Night_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,,40.0,,66.0,,,,,
QC_Night_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,,44.0,,139.0,1.0,,,,
QC_Night_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,,32.0,,179.0,9.0,,,,
QC_Night_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,,41.0,,156.0,,,,,
QC_Night_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,,23.0,,395.0,26.0,,,,
QC_Night_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,6164.0,25.0,,5176.0,38.0,,55.0,6.0,
