File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD11A2_061_LST_Day_1km_doy2022361000000_aid0001,LST_Day_1km,aid0001,2022-12-27,11878.0,292.54,301.38,"(292.54,301.38)",297.1759118,1.1300542,1.2770225,297.92,300.16,297.12,294.18,296.42
MYD11A2_061_LST_Day_1km_doy2023001000000_aid0001,LST_Day_1km,aid0001,2023-01-01,15859.0,292.82,301.48,"(292.82,301.48)",296.8344044,0.9638254,0.9289594,297.42,299.22,296.78,294.42,296.22
MYD11A2_061_LST_Day_1km_doy2023009000000_aid0001,LST_Day_1km,aid0001,2023-01-09,16045.0,293.28,306.52,"(293.28,306.52)",298.012086,1.4895138,2.2186513,298.76,301.22,297.92,294.66,297.12
MYD11A2_061_LST_Day_1km_doy2023017000000_aid0001,LST_Day_1km,aid0001,2023-01-17,8240.0,292.8,303.94,"(292.8,303.94)",297.9779684,1.2127172,1.470683,298.7,300.92,297.9,295.02,297.22
MYD11A2_061_LST_Day_1km_doy2023025000000_aid0001,LST_Day_1km,aid0001,2023-01-25,16031.0,295.16,308.44,"(295.16,308.44)",301.7366552,1.4836094,2.201097,302.65,305.54,301.6,297.84,300.72
MYD11A2_061_LST_Day_1km_doy2023033000000_aid0001,LST_Day_1km,aid0001,2023-02-02,16038.0,296.24,305.18,"(296.24,305.18)",300.3141888,1.0179246,1.0361705,300.915,302.84,300.18,297.68,299.62
MYD11A2_061_LST_Day_1km_doy2023041000000_aid0001,LST_Day_1km,aid0001,2023-02-10,16130.0,295.94,305.46,"(295.94,305.46)",300.1916925,1.1925213,1.422107,300.9,303.24,300.04,297.1,299.34
MYD11A2_061_LST_Day_1km_doy2023049000000_aid0001,LST_Day_1km,aid0001,2023-02-18,16128.0,298.42,307.4,"(298.42,307.4)",302.4509164,1.1551807,1.3344425,303.02,305.08,302.32,299.58,301.64
MYD11A2_061_LST_Day_1km_doy2023057000000_aid0001,LST_Day_1km,aid0001,2023-02-26,16130.0,297.7,309.4,"(297.7,309.4)",302.9443447,1.5831301,2.5063008,303.84,306.86,302.76,298.88,301.82
MYD11A2_061_LST_Day_1km_doy2023065000000_aid0001,LST_Day_1km,aid0001,2023-03-06,16130.0,300.9,311.74,"(300.9,311.74)",304.6876379,1.682419,2.8305339,305.66,309.02,304.42,300.9,303.42
MYD11A2_061_LST_Day_1km_doy2023073000000_aid0001,LST_Day_1km,aid0001,2023-03-14,16005.0,295.02,311.6,"(295.02,311.6)",303.2415095,2.1941512,4.8142993,304.7,309.22,302.98,297.16,301.68
MYD11A2_061_LST_Day_1km_doy2023081000000_aid0001,LST_Day_1km,aid0001,2023-03-22,16130.0,298.48,310.36,"(298.48,310.36)",303.0353156,1.3948,1.9454671,303.86,306.56,302.84,299.38,302.06
MYD11A2_061_LST_Day_1km_doy2023089000000_aid0001,LST_Day_1km,aid0001,2023-03-30,16130.0,297.88,308.86,"(297.88,308.86)",302.1984501,1.2606386,1.5892098,303.02,305.6,302.12,298.72,301.3
MYD11A2_061_LST_Day_1km_doy2023097000000_aid0001,LST_Day_1km,aid0001,2023-04-07,16130.0,302.16,315.04,"(302.16,315.04)",305.930744,1.7095376,2.9225188,306.8,309.88,305.54,302.16,304.74
MYD11A2_061_LST_Day_1km_doy2023105000000_aid0001,LST_Day_1km,aid0001,2023-04-15,16129.0,301.08,314.72,"(301.08,314.72)",306.329486,1.7475268,3.0538498,307.34,310.64,306.16,301.84,305.14
MYD11A2_061_LST_Day_1km_doy2023113000000_aid0001,LST_Day_1km,aid0001,2023-04-23,16006.0,293.84,318.66,"(293.84,318.66)",304.3988129,2.3543512,5.5429696,305.48,309.26,304.1,299.2,302.96
MYD11A2_061_LST_Day_1km_doy2023121000000_aid0001,LST_Day_1km,aid0001,2023-05-01,16130.0,302.7,322.68,"(302.7,322.68)",307.4064476,1.4060698,1.9770323,308.18,310.82,307.22,303.78,306.42
MYD11A2_061_LST_Day_1km_doy2023129000000_aid0001,LST_Day_1km,aid0001,2023-05-09,16129.0,301.34,317.18,"(301.34,317.18)",308.4906057,2.0023119,4.009253,309.86,313.94,308.58,303.06,307.12
