File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024002000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-02,21.0,0.1039103,0.3317963,"(0.1039103,0.3317963)",0.267607,0.0524282,0.0027487,0.2922505,0.3317963,0.2835024,0.2444908,0.2543611
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024003000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-03,8.0,0.1250826,0.3442096,"(0.1250826,0.3442096)",0.246889,0.0813236,0.0066135,0.3047916,0.3442096,0.2828531,0.1250826,0.1612963
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024005000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-05,22.0,0.0424771,0.2870677,"(0.0424771,0.2870677)",0.2300968,0.0558837,0.003123,0.2602295,0.2870677,0.2501762,0.1830183,0.2219564
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024007000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-07,21.0,0.1529078,0.3532235,"(0.1529078,0.3532235)",0.2856343,0.0490171,0.0024027,0.3200298,0.3532235,0.2908088,0.2591136,0.2650747
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024010000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-10,22.0,0.1105655,0.3187051,"(0.1105655,0.3187051)",0.2573836,0.0559167,0.0031267,0.2876203,0.3187051,0.2731558,0.2076654,0.2511031
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024011000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-11,7.0,0.109483,0.3444192,"(0.109483,0.3444192)",0.2359773,0.0726518,0.0052783,0.2822043,0.3444192,0.2328667,0.109483,0.2003317
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024013000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-13,20.0,0.1384918,0.2857965,"(0.1384918,0.2857965)",0.2389098,0.0343073,0.001177,0.2619178,0.2857965,0.2440599,0.2001047,0.2358444
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024015000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-15,21.0,0.1107412,0.3807096,"(0.1107412,0.3807096)",0.282862,0.052992,0.0028081,0.3068332,0.334258,0.2962689,0.2559843,0.2723222
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024018000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-18,21.0,0.1044333,0.3605418,"(0.1044333,0.3605418)",0.276376,0.0581791,0.0033848,0.3044574,0.3605418,0.2965827,0.22364,0.2628447
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024019000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-19,7.0,0.1231482,0.3657683,"(0.1231482,0.3657683)",0.2744243,0.0793689,0.0062994,0.3395293,0.3657683,0.2834555,0.1231482,0.2347697
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024021000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-21,21.0,0.0951473,0.2849504,"(0.0951473,0.2849504)",0.2298066,0.0369345,0.0013642,0.2509871,0.2849504,0.2396275,0.1918322,0.2205464
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024023000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-23,21.0,0.1367569,0.3997932,"(0.1367569,0.3997932)",0.3235157,0.0550839,0.0030342,0.3557653,0.3997932,0.3246,0.2590425,0.3012736
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024026000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-26,22.0,0.1451988,0.4165171,"(0.1451988,0.4165171)",0.3147841,0.0767499,0.0058905,0.3808898,0.4165171,0.31105,0.1451988,0.2863157
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024027000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-27,7.0,0.1598274,0.4517527,"(0.1598274,0.4517527)",0.3576234,0.0915469,0.0083808,0.4112511,0.4517527,0.3951716,0.3005579,0.3370547
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024029000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-29,21.0,0.1401344,0.409885,"(0.1401344,0.409885)",0.3021702,0.0553023,0.0030583,0.3363831,0.409885,0.3039366,0.2224653,0.2733747
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024031000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-01-31,19.0,0.1897873,0.4937012,"(0.1897873,0.4937012)",0.371252,0.0750865,0.005638,0.4181501,0.4937012,0.3694541,0.268552,0.3335432
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024034000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-02-03,17.0,0.1562221,0.4686714,"(0.1562221,0.4686714)",0.333854,0.0891739,0.007952,0.4219017,0.4686714,0.3406519,0.1562221,0.2975218
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2024035000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2024-02-04,5.0,0.2049103,0.4958398,"(0.2049103,0.4958398)",0.3942567,0.110787,0.0122738,0.4713157,0.4958398,0.4674403,0.2049103,0.3317772
