File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD13Q1_061__250m_16_days_NDVI_doy2022361000000_aid0001,_250m_16_days_NDVI,aid0001,2022-12-27,252631.0,-0.1997,0.8411,"(-0.1997,0.8411)",0.4243762,0.115752,0.0133985,0.496,0.6974,0.43,0.1603,0.3617
MYD13Q1_061__250m_16_days_NDVI_doy2023009000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-09,252804.0,-0.1997,0.8502,"(-0.1997,0.8502)",0.4334538,0.1284208,0.0164919,0.5178,0.7598,0.4397,0.1143,0.3564
MYD13Q1_061__250m_16_days_NDVI_doy2023025000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-25,252853.0,-0.2,0.8434,"(-0.2,0.8434)",0.4429979,0.1410911,0.0199067,0.5433,0.8367,0.4442,0.0518,0.3467
MYD13Q1_061__250m_16_days_NDVI_doy2023041000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-10,252873.0,-0.1921,0.8894,"(-0.1921,0.8894)",0.4532349,0.1293843,0.0167403,0.5474,0.8157,0.4536,0.0987,0.3679
MYD13Q1_061__250m_16_days_NDVI_doy2023057000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-26,252856.0,-0.1985,0.8826,"(-0.1985,0.8826)",0.5827804,0.137217,0.0188285,0.6796,0.8826,0.6028,0.2531,0.509
MYD13Q1_061__250m_16_days_NDVI_doy2023073000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-14,252874.0,-0.1368,0.9849,"(-0.1368,0.9849)",0.6519857,0.1437768,0.0206718,0.7509,0.9849,0.6857,0.3439,0.5881
MYD13Q1_061__250m_16_days_NDVI_doy2023089000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-30,252784.0,-0.2,0.9914,"(-0.2,0.9914)",0.6670958,0.1515375,0.0229636,0.7673,0.9914,0.7047,0.3816,0.613
MYD13Q1_061__250m_16_days_NDVI_doy2023105000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-15,252872.0,-0.1973,0.8974,"(-0.1973,0.8974)",0.619582,0.1272925,0.0162034,0.6919,0.8421,0.6485,0.4397,0.591
MYD13Q1_061__250m_16_days_NDVI_doy2023121000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-01,252846.0,-0.1988,0.8977,"(-0.1988,0.8977)",0.518985,0.1234161,0.0152315,0.5967,0.7934,0.5294,0.2687,0.4655
MYD13Q1_061__250m_16_days_NDVI_doy2023137000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-17,252105.0,-0.2,0.9757,"(-0.2,0.9757)",0.5404613,0.1250017,0.0156254,0.6191,0.8235,0.5506,0.2774,0.4824
MYD13Q1_061__250m_16_days_NDVI_doy2023153000000_aid0001,_250m_16_days_NDVI,aid0001,2023-06-02,252847.0,-0.1981,0.9331,"(-0.1981,0.9331)",0.5042245,0.1145461,0.0131208,0.575,0.7589,0.5172,0.2685,0.4524
MYD13Q1_061__250m_16_days_NDVI_doy2023169000000_aid0001,_250m_16_days_NDVI,aid0001,2023-06-18,251682.0,-0.2,0.9976,"(-0.2,0.9976)",0.5090091,0.1813665,0.0328938,0.6357,0.9576,0.5477,0.0992,0.4211
MYD13Q1_061__250m_16_days_NDVI_doy2023185000000_aid0001,_250m_16_days_NDVI,aid0001,2023-07-04,252297.0,-0.2,0.999,"(-0.2,0.999)",0.4611619,0.1948408,0.0379629,0.6058,0.999,0.4893,-0.0639,0.3379
MYD13Q1_061__250m_16_days_NDVI_doy2023201000000_aid0001,_250m_16_days_NDVI,aid0001,2023-07-20,251693.0,-0.2,0.9989,"(-0.2,0.9989)",0.4714168,0.170653,0.0291225,0.5906,0.9048,0.5013,0.0664,0.3809
MYD13Q1_061__250m_16_days_NDVI_doy2023217000000_aid0001,_250m_16_days_NDVI,aid0001,2023-08-05,252274.0,-0.2,0.9993,"(-0.2,0.9993)",0.4981337,0.2275186,0.0517647,0.6869,0.9993,0.5262,-0.2,0.3304
MYD13Q1_061__250m_16_days_NDVI_doy2023233000000_aid0001,_250m_16_days_NDVI,aid0001,2023-08-21,252844.0,-0.1986,0.9994,"(-0.1986,0.9994)",0.6245393,0.2118528,0.0448816,0.7728,0.9994,0.7045,0.1888,0.5392
MYD13Q1_061__250m_16_days_NDVI_doy2023249000000_aid0001,_250m_16_days_NDVI,aid0001,2023-09-06,251321.0,-0.2,0.9996,"(-0.2,0.9996)",0.7265842,0.1866298,0.0348307,0.8343,0.9996,0.7867,0.4908,0.6969
