File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2022353000000_aid0001,_250m_16_days_NDVI,aid0001,2022-12-19,181141.0,-0.2,0.9636,"(-0.2,0.9636)",0.3548567,0.168847,0.0285093,0.4575,0.7576,0.3574,-0.0427,0.2574
MOD13Q1_061__250m_16_days_NDVI_doy2023001000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-01,180892.0,-0.2,0.8634,"(-0.2,0.8634)",0.3690583,0.153095,0.0234381,0.4618,0.7377,0.3614,0.0018,0.2778
MOD13Q1_061__250m_16_days_NDVI_doy2023017000000_aid0001,_250m_16_days_NDVI,aid0001,2023-01-17,182130.0,-0.1888,0.981,"(-0.1888,0.981)",0.4170788,0.1163492,0.0135371,0.4915,0.719,0.4113,0.1125,0.3398
MOD13Q1_061__250m_16_days_NDVI_doy2023033000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-02,182153.0,-0.1792,0.8608,"(-0.1792,0.8608)",0.5150966,0.128398,0.0164861,0.6104,0.8608,0.513,0.144,0.4237
MOD13Q1_061__250m_16_days_NDVI_doy2023049000000_aid0001,_250m_16_days_NDVI,aid0001,2023-02-18,182153.0,-0.0269,0.9133,"(-0.0269,0.9133)",0.5980543,0.1401924,0.0196539,0.7116,0.9133,0.5979,0.1684,0.4936
MOD13Q1_061__250m_16_days_NDVI_doy2023065000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-06,182153.0,-0.0943,0.9088,"(-0.0943,0.9088)",0.6184529,0.1381293,0.0190797,0.7346,0.9088,0.6264,0.1924,0.5177
MOD13Q1_061__250m_16_days_NDVI_doy2023081000000_aid0001,_250m_16_days_NDVI,aid0001,2023-03-22,182153.0,-0.0051,0.9967,"(-0.0051,0.9967)",0.6652611,0.1224091,0.014984,0.7523,0.9815,0.6819,0.3703,0.5995
MOD13Q1_061__250m_16_days_NDVI_doy2023097000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-07,182148.0,-0.1725,0.8963,"(-0.1725,0.8963)",0.5911549,0.0934222,0.0087277,0.6516,0.8127,0.6015,0.3831,0.5442
MOD13Q1_061__250m_16_days_NDVI_doy2023113000000_aid0001,_250m_16_days_NDVI,aid0001,2023-04-23,182146.0,-0.1993,0.8859,"(-0.1993,0.8859)",0.5511529,0.1225148,0.0150099,0.641,0.8859,0.5514,0.2054,0.4667
MOD13Q1_061__250m_16_days_NDVI_doy2023129000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-09,182153.0,-0.0372,0.9374,"(-0.0372,0.9374)",0.4958309,0.1325927,0.0175808,0.5935,0.893,0.4906,0.0909,0.3924
MOD13Q1_061__250m_16_days_NDVI_doy2023145000000_aid0001,_250m_16_days_NDVI,aid0001,2023-05-25,182144.0,-0.1983,0.9965,"(-0.1983,0.9965)",0.4961351,0.1457028,0.0212293,0.5978,0.9006,0.4918,0.0918,0.3954
MOD13Q1_061__250m_16_days_NDVI_doy2023161000000_aid0001,_250m_16_days_NDVI,aid0001,2023-06-10,178339.0,-0.2,0.9971,"(-0.2,0.9971)",0.3510866,0.217392,0.0472593,0.5232,0.9971,0.3372,-0.2,0.1784
MOD13Q1_061__250m_16_days_NDVI_doy2023177000000_aid0001,_250m_16_days_NDVI,aid0001,2023-06-26,177338.0,-0.2,0.9987,"(-0.2,0.9987)",0.2911128,0.2629119,0.0691227,0.493275,0.9987,0.2762,-0.2,0.0436
MOD13Q1_061__250m_16_days_NDVI_doy2023193000000_aid0001,_250m_16_days_NDVI,aid0001,2023-07-12,164304.0,-0.2,0.999,"(-0.2,0.999)",0.3723996,0.2780388,0.0773056,0.5995,0.999,0.4102,-0.2,0.1542
MOD13Q1_061__250m_16_days_NDVI_doy2023209000000_aid0001,_250m_16_days_NDVI,aid0001,2023-07-28,172743.0,-0.2,0.971,"(-0.2,0.971)",0.4234892,0.2787963,0.0777274,0.6423,0.971,0.5123,-0.2,0.2009
MOD13Q1_061__250m_16_days_NDVI_doy2023225000000_aid0001,_250m_16_days_NDVI,aid0001,2023-08-13,179038.0,-0.2,0.9994,"(-0.2,0.9994)",0.329563,0.2674725,0.0715415,0.5553,0.9994,0.3369,-0.2,0.0474
MOD13Q1_061__250m_16_days_NDVI_doy2023241000000_aid0001,_250m_16_days_NDVI,aid0001,2023-08-29,156109.0,-0.2,0.9949,"(-0.2,0.9949)",0.5064065,0.274689,0.0754541,0.7118,0.9949,0.5938,-0.1389,0.3715
MOD13Q1_061__250m_16_days_NDVI_doy2023257000000_aid0001,_250m_16_days_NDVI,aid0001,2023-09-14,158919.0,-0.2,0.9981,"(-0.2,0.9981)",0.5627387,0.2760404,0.0761983,0.7718,0.9981,0.6529,-0.0839,0.4295
MOD13Q1_061__250m_16_days_NDVI_doy2023273000000_aid0001,_250m_16_days_NDVI,aid0001,2023-09-30,179340.0,-0.2,0.9994,"(-0.2,0.9994)",0.4669108,0.3010538,0.0906334,0.7222,0.9994,0.5627,-0.2,0.2133
MOD13Q1_061__250m_16_days_NDVI_doy2023289000000_aid0001,_250m_16_days_NDVI,aid0001,2023-10-16,157682.0,-0.2,0.9622,"(-0.2,0.9622)",0.6207119,0.2568565,0.0659753,0.8085,0.9622,0.7132,0.0918,0.5218
MOD13Q1_061__250m_16_days_NDVI_doy2023305000000_aid0001,_250m_16_days_NDVI,aid0001,2023-11-01,167268.0,-0.2,0.92,"(-0.2,0.92)",0.5598621,0.2532331,0.064127,0.7531,0.92,0.6485,-0.0539,0.430275
MOD13Q1_061__250m_16_days_NDVI_doy2023321000000_aid0001,_250m_16_days_NDVI,aid0001,2023-11-17,172775.0,-0.2,0.9335,"(-0.2,0.9335)",0.5099388,0.2313888,0.0535408,0.6812,0.9335,0.5747,-0.08,0.3767
