File,aid,Date,2,17,33,65,81,129,145
QC_Night_2022361_aid0001,aid0001,2022-12-27 00:00:00+00:00,1017.0,,,5036.0,5.0,,20.0
QC_Night_2023001_aid0001,aid0001,2023-01-01 00:00:00+00:00,40.0,,,1855.0,22.0,,
QC_Night_2023009_aid0001,aid0001,2023-01-09 00:00:00+00:00,,7.0,,522.0,21.0,,
QC_Night_2023017_aid0001,aid0001,2023-01-17 00:00:00+00:00,,7.0,,327.0,18.0,,
QC_Night_2023025_aid0001,aid0001,2023-01-25 00:00:00+00:00,,,,404.0,24.0,,
QC_Night_2023033_aid0001,aid0001,2023-02-02 00:00:00+00:00,,,,881.0,22.0,,
QC_Night_2023041_aid0001,aid0001,2023-02-10 00:00:00+00:00,,15.0,,,13.0,,
QC_Night_2023049_aid0001,aid0001,2023-02-18 00:00:00+00:00,,10.0,,830.0,17.0,,
QC_Night_2023057_aid0001,aid0001,2023-02-26 00:00:00+00:00,,8.0,,53.0,19.0,,
QC_Night_2023065_aid0001,aid0001,2023-03-06 00:00:00+00:00,,7.0,,981.0,21.0,,
QC_Night_2023073_aid0001,aid0001,2023-03-14 00:00:00+00:00,3130.0,6.0,,1503.0,13.0,,9.0
QC_Night_2023081_aid0001,aid0001,2023-03-22 00:00:00+00:00,23.0,5.0,,3702.0,21.0,,
QC_Night_2023089_aid0001,aid0001,2023-03-30 00:00:00+00:00,82.0,1.0,,5976.0,26.0,,
QC_Night_2023097_aid0001,aid0001,2023-04-07 00:00:00+00:00,,23.0,,3.0,,,
QC_Night_2023105_aid0001,aid0001,2023-04-15 00:00:00+00:00,7.0,22.0,,2662.0,,,
QC_Night_2023113_aid0001,aid0001,2023-04-23 00:00:00+00:00,183.0,25.0,,2530.0,,,
QC_Night_2023121_aid0001,aid0001,2023-05-01 00:00:00+00:00,,23.0,,,,,
QC_Night_2023129_aid0001,aid0001,2023-05-09 00:00:00+00:00,408.0,34.0,,2352.0,,,
QC_Night_2023137_aid0001,aid0001,2023-05-17 00:00:00+00:00,232.0,21.0,,2827.0,2.0,,
QC_Night_2023145_aid0001,aid0001,2023-05-25 00:00:00+00:00,10.0,24.0,,2102.0,,,
QC_Night_2023153_aid0001,aid0001,2023-06-02 00:00:00+00:00,,11.0,,654.0,10.0,,
QC_Night_2023161_aid0001,aid0001,2023-06-10 00:00:00+00:00,8620.0,,,2479.0,,,
QC_Night_2023169_aid0001,aid0001,2023-06-18 00:00:00+00:00,11508.0,,,83.0,,,
QC_Night_2023177_aid0001,aid0001,2023-06-26 00:00:00+00:00,11640.0,,,,,,
QC_Night_2023185_aid0001,aid0001,2023-07-04 00:00:00+00:00,11640.0,,,,,,
QC_Night_2023193_aid0001,aid0001,2023-07-12 00:00:00+00:00,9138.0,,,1520.0,,,
QC_Night_2023201_aid0001,aid0001,2023-07-20 00:00:00+00:00,11464.0,,,170.0,,,
QC_Night_2023209_aid0001,aid0001,2023-07-28 00:00:00+00:00,11296.0,,,316.0,,,
QC_Night_2023217_aid0001,aid0001,2023-08-05 00:00:00+00:00,11640.0,,,,,,
QC_Night_2023225_aid0001,aid0001,2023-08-13 00:00:00+00:00,11640.0,,,,,,
QC_Night_2023233_aid0001,aid0001,2023-08-21 00:00:00+00:00,2869.0,,,3681.0,20.0,,
QC_Night_2023241_aid0001,aid0001,2023-08-29 00:00:00+00:00,,31.0,,611.0,,,
QC_Night_2023249_aid0001,aid0001,2023-09-06 00:00:00+00:00,10197.0,,,1242.0,,,
QC_Night_2023257_aid0001,aid0001,2023-09-14 00:00:00+00:00,1111.0,13.0,,3347.0,12.0,293.0,
QC_Night_2023265_aid0001,aid0001,2023-09-22 00:00:00+00:00,11586.0,,,54.0,,,
QC_Night_2023273_aid0001,aid0001,2023-09-30 00:00:00+00:00,11045.0,,,586.0,,,
QC_Night_2023281_aid0001,aid0001,2023-10-08 00:00:00+00:00,212.0,,,4123.0,28.0,,
QC_Night_2023289_aid0001,aid0001,2023-10-16 00:00:00+00:00,,15.0,,,6.0,,
QC_Night_2023297_aid0001,aid0001,2023-10-24 00:00:00+00:00,,17.0,,198.0,6.0,,
QC_Night_2023305_aid0001,aid0001,2023-11-01 00:00:00+00:00,,7.0,,303.0,13.0,,
QC_Night_2023313_aid0001,aid0001,2023-11-09 00:00:00+00:00,,,,714.0,25.0,,
QC_Night_2023321_aid0001,aid0001,2023-11-17 00:00:00+00:00,,26.0,,506.0,,,
QC_Night_2023329_aid0001,aid0001,2023-11-25 00:00:00+00:00,,29.0,,1080.0,,,
QC_Night_2023337_aid0001,aid0001,2023-12-03 00:00:00+00:00,3145.0,,,6476.0,3.0,,11.0
QC_Night_2023345_aid0001,aid0001,2023-12-11 00:00:00+00:00,,8.0,,1663.0,18.0,,
QC_Night_2023353_aid0001,aid0001,2023-12-19 00:00:00+00:00,,2.0,,2533.0,18.0,,
QC_Night_2023361_aid0001,aid0001,2023-12-27 00:00:00+00:00,,6.0,,1034.0,18.0,,
QC_Night_2024001_aid0001,aid0001,2024-01-01 00:00:00+00:00,,,,2689.0,19.0,,6.0
QC_Night_2024009_aid0001,aid0001,2024-01-09 00:00:00+00:00,3389.0,,,5044.0,15.0,,11.0
QC_Night_2024017_aid0001,aid0001,2024-01-17 00:00:00+00:00,7.0,,,2680.0,26.0,,
QC_Night_2024025_aid0001,aid0001,2024-01-25 00:00:00+00:00,,,,558.0,25.0,,
QC_Night_2024033_aid0001,aid0001,2024-02-02 00:00:00+00:00,,4.0,,638.0,21.0,,
QC_Night_2024041_aid0001,aid0001,2024-02-10 00:00:00+00:00,,6.0,,56.0,21.0,,
QC_Night_2024049_aid0001,aid0001,2024-02-18 00:00:00+00:00,,5.0,,86.0,20.0,,
QC_Night_2024057_aid0001,aid0001,2024-02-26 00:00:00+00:00,,8.0,,318.0,17.0,,
QC_Night_2024065_aid0001,aid0001,2024-03-05 00:00:00+00:00,,25.0,,,,,
QC_Night_2024073_aid0001,aid0001,2024-03-13 00:00:00+00:00,,5.0,,864.0,21.0,,
QC_Night_2024081_aid0001,aid0001,2024-03-21 00:00:00+00:00,26.0,11.0,,4636.0,10.0,,
QC_Night_2024089_aid0001,aid0001,2024-03-29 00:00:00+00:00,431.0,,,6869.0,22.0,,
QC_Night_2024097_aid0001,aid0001,2024-04-06 00:00:00+00:00,53.0,,,2533.0,25.0,,
QC_Night_2024105_aid0001,aid0001,2024-04-14 00:00:00+00:00,72.0,,,6538.0,27.0,,
QC_Night_2024113_aid0001,aid0001,2024-04-22 00:00:00+00:00,269.0,,,3880.0,,,
QC_Night_2024121_aid0001,aid0001,2024-04-30 00:00:00+00:00,1097.0,,,2835.0,6.0,,5.0
QC_Night_2024129_aid0001,aid0001,2024-05-08 00:00:00+00:00,14.0,5.0,,3213.0,24.0,,
QC_Night_2024137_aid0001,aid0001,2024-05-16 00:00:00+00:00,888.0,6.0,,3775.0,21.0,,
QC_Night_2024145_aid0001,aid0001,2024-05-24 00:00:00+00:00,7094.0,,,3644.0,,202.0,
QC_Night_2024153_aid0001,aid0001,2024-06-01 00:00:00+00:00,5246.0,,,4349.0,,,
QC_Night_2024161_aid0001,aid0001,2024-06-09 00:00:00+00:00,6592.0,,,1909.0,,,
QC_Night_2024169_aid0001,aid0001,2024-06-17 00:00:00+00:00,11640.0,,,,,,
QC_Night_2024177_aid0001,aid0001,2024-06-25 00:00:00+00:00,11640.0,,,,,,
QC_Night_2024185_aid0001,aid0001,2024-07-03 00:00:00+00:00,11503.0,,,137.0,,,
QC_Night_2024193_aid0001,aid0001,2024-07-11 00:00:00+00:00,11640.0,,,,,,
QC_Night_2024201_aid0001,aid0001,2024-07-19 00:00:00+00:00,11411.0,,,229.0,,,
QC_Night_2024209_aid0001,aid0001,2024-07-27 00:00:00+00:00,11580.0,,,60.0,,,
QC_Night_2024217_aid0001,aid0001,2024-08-04 00:00:00+00:00,11640.0,,,,,,
QC_Night_2024225_aid0001,aid0001,2024-08-12 00:00:00+00:00,11640.0,,,,,,
QC_Night_2024233_aid0001,aid0001,2024-08-20 00:00:00+00:00,11640.0,,,,,,
QC_Night_2024241_aid0001,aid0001,2024-08-28 00:00:00+00:00,10590.0,,,946.0,22.0,,
QC_Night_2024249_aid0001,aid0001,2024-09-05 00:00:00+00:00,11640.0,,,,,,
QC_Night_2024257_aid0001,aid0001,2024-09-13 00:00:00+00:00,1415.0,27.0,,2493.0,3.0,236.0,
QC_Night_2024265_aid0001,aid0001,2024-09-21 00:00:00+00:00,11065.0,,,339.0,,236.0,
QC_Night_2024273_aid0001,aid0001,2024-09-29 00:00:00+00:00,11600.0,,,40.0,,,
QC_Night_2024281_aid0001,aid0001,2024-10-07 00:00:00+00:00,3709.0,5.0,,3974.0,18.0,,
QC_Night_2024289_aid0001,aid0001,2024-10-15 00:00:00+00:00,4.0,21.0,,1287.0,4.0,,
QC_Night_2024297_aid0001,aid0001,2024-10-23 00:00:00+00:00,,9.0,,4688.0,16.0,,
QC_Night_2024305_aid0001,aid0001,2024-10-31 00:00:00+00:00,,22.0,,274.0,1.0,,
QC_Night_2024313_aid0001,aid0001,2024-11-08 00:00:00+00:00,,7.0,,93.0,17.0,,
QC_Night_2024321_aid0001,aid0001,2024-11-16 00:00:00+00:00,,5.0,,1124.0,17.0,,
QC_Night_2024329_aid0001,aid0001,2024-11-24 00:00:00+00:00,,20.0,,3102.0,10.0,,
QC_Night_2024337_aid0001,aid0001,2024-12-02 00:00:00+00:00,,,,3895.0,23.0,,
QC_Night_2024345_aid0001,aid0001,2024-12-10 00:00:00+00:00,42.0,2.0,,3866.0,25.0,,
QC_Night_2024353_aid0001,aid0001,2024-12-18 00:00:00+00:00,68.0,,,6117.0,13.0,,13.0
QC_Night_2024361_aid0001,aid0001,2024-12-26 00:00:00+00:00,1.0,2.0,,2214.0,22.0,,
QC_Night_2025001_aid0001,aid0001,2025-01-01 00:00:00+00:00,1.0,4.0,,2690.0,20.0,,
QC_Night_2025009_aid0001,aid0001,2025-01-09 00:00:00+00:00,,3.0,,1045.0,22.0,,
QC_Night_2025017_aid0001,aid0001,2025-01-17 00:00:00+00:00,,4.0,,233.0,24.0,,
QC_Night_2025025_aid0001,aid0001,2025-01-25 00:00:00+00:00,,,,827.0,22.0,,
QC_Night_2025033_aid0001,aid0001,2025-02-02 00:00:00+00:00,,8.0,,39.0,22.0,,
QC_Night_2025041_aid0001,aid0001,2025-02-10 00:00:00+00:00,,3.0,,4.0,23.0,,
QC_Night_2025049_aid0001,aid0001,2025-02-18 00:00:00+00:00,,9.0,,,19.0,,
QC_Night_2025057_aid0001,aid0001,2025-02-26 00:00:00+00:00,,6.0,,101.0,17.0,,
QC_Night_2025065_aid0001,aid0001,2025-03-06 00:00:00+00:00,,9.0,,,12.0,,
QC_Night_2025073_aid0001,aid0001,2025-03-14 00:00:00+00:00,105.0,,,5534.0,28.0,3.0,
QC_Night_2025081_aid0001,aid0001,2025-03-22 00:00:00+00:00,,22.0,,,,,
QC_Night_2025089_aid0001,aid0001,2025-03-30 00:00:00+00:00,,5.0,,1084.0,17.0,,
QC_Night_2025097_aid0001,aid0001,2025-04-07 00:00:00+00:00,602.0,4.0,,1710.0,23.0,,
QC_Night_2025105_aid0001,aid0001,2025-04-15 00:00:00+00:00,2556.0,,,6270.0,16.0,,
QC_Night_2025113_aid0001,aid0001,2025-04-23 00:00:00+00:00,1634.0,,,3596.0,24.0,,
QC_Night_2025121_aid0001,aid0001,2025-05-01 00:00:00+00:00,1241.0,,,7144.0,20.0,10.0,
QC_Night_2025129_aid0001,aid0001,2025-05-09 00:00:00+00:00,1919.0,5.0,,2046.0,25.0,7.0,
QC_Night_2025137_aid0001,aid0001,2025-05-17 00:00:00+00:00,9852.0,,,1612.0,33.0,,
QC_Night_2025145_aid0001,aid0001,2025-05-25 00:00:00+00:00,11640.0,,,,,,
QC_Night_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,1176.0,29.0,1.0,3651.0,,78.0,
