File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MYD11A2_061_LST_Day_1km_doy2022361000000_aid0001,LST_Day_1km,aid0001,2022-12-27,4550.0,292.92,300.68,"(292.92,300.68)",298.048167,1.2339019,1.5225139,299.0,300.68,298.2,294.7,297.28
MYD11A2_061_LST_Day_1km_doy2023001000000_aid0001,LST_Day_1km,aid0001,2023-01-01,11560.0,293.96,304.3,"(293.96,304.3)",299.0785623,1.293184,1.6723248,300.02,302.62,299.22,295.68,298.28
MYD11A2_061_LST_Day_1km_doy2023009000000_aid0001,LST_Day_1km,aid0001,2023-01-09,11638.0,296.32,306.44,"(296.32,306.44)",301.0652724,1.4445423,2.0867026,302.12,305.1,301.2,297.12,300.12
MYD11A2_061_LST_Day_1km_doy2023017000000_aid0001,LST_Day_1km,aid0001,2023-01-17,11591.0,294.96,304.86,"(294.96,304.86)",299.2997101,1.0374984,1.0764028,300.0,302.16,299.4,296.36,298.54
MYD11A2_061_LST_Day_1km_doy2023025000000_aid0001,LST_Day_1km,aid0001,2023-01-25,11639.0,298.36,306.5,"(298.36,306.5)",302.2182077,1.4275064,2.0377745,303.26,306.5,302.34,298.36,301.08
MYD11A2_061_LST_Day_1km_doy2023033000000_aid0001,LST_Day_1km,aid0001,2023-02-02,11622.0,296.3,309.22,"(296.3,309.22)",301.5227672,2.1332575,4.5507876,303.08,307.64,301.68,296.3,299.88
MYD11A2_061_LST_Day_1km_doy2023041000000_aid0001,LST_Day_1km,aid0001,2023-02-10,11640.0,295.4,305.3,"(295.4,305.3)",300.2773351,1.9166416,3.6735149,301.82,305.3,300.42,295.4,298.68
MYD11A2_061_LST_Day_1km_doy2023049000000_aid0001,LST_Day_1km,aid0001,2023-02-18,10987.0,286.94,308.84,"(286.94,308.84)",301.6659525,2.5385519,6.4442457,303.6,308.84,301.86,294.08,299.76
MYD11A2_061_LST_Day_1km_doy2023057000000_aid0001,LST_Day_1km,aid0001,2023-02-26,11640.0,298.68,309.78,"(298.68,309.78)",303.5849313,2.3741365,5.6365243,305.56,309.78,303.68,298.68,301.38
MYD11A2_061_LST_Day_1km_doy2023065000000_aid0001,LST_Day_1km,aid0001,2023-03-06,11640.0,299.14,311.54,"(299.14,311.54)",304.5557165,2.5700114,6.6049588,306.64,311.54,304.34,299.14,302.3
MYD11A2_061_LST_Day_1km_doy2023073000000_aid0001,LST_Day_1km,aid0001,2023-03-14,9016.0,292.36,309.46,"(292.36,309.46)",301.5194055,3.0196024,9.1179986,303.62,309.46,300.78,292.84,299.16
MYD11A2_061_LST_Day_1km_doy2023081000000_aid0001,LST_Day_1km,aid0001,2023-03-22,11619.0,297.02,308.06,"(297.02,308.06)",301.506331,1.5801329,2.49682,302.68,306.36,301.42,297.02,300.2
MYD11A2_061_LST_Day_1km_doy2023089000000_aid0001,LST_Day_1km,aid0001,2023-03-30,11617.0,296.64,307.9,"(296.64,307.9)",301.941744,1.3619046,1.854784,302.88,305.82,301.92,297.98,300.92
MYD11A2_061_LST_Day_1km_doy2023097000000_aid0001,LST_Day_1km,aid0001,2023-04-07,11640.0,301.7,311.72,"(301.7,311.72)",305.3221048,1.3616495,1.8540893,306.34,309.52,305.32,301.7,304.22
MYD11A2_061_LST_Day_1km_doy2023105000000_aid0001,LST_Day_1km,aid0001,2023-04-15,11640.0,301.4,316.2,"(301.4,316.2)",306.6690567,1.8599207,3.4593051,308.04,311.96,306.62,301.4,305.38
MYD11A2_061_LST_Day_1km_doy2023113000000_aid0001,LST_Day_1km,aid0001,2023-04-23,11631.0,298.32,321.18,"(298.32,321.18)",304.9700009,1.8304244,3.3504536,305.76,308.58,304.78,301.06,303.88
MYD11A2_061_LST_Day_1km_doy2023121000000_aid0001,LST_Day_1km,aid0001,2023-05-01,11250.0,300.16,316.28,"(300.16,316.28)",306.7137973,1.6115314,2.5970333,307.5,310.08,306.52,303.2,305.78
MYD11A2_061_LST_Day_1km_doy2023129000000_aid0001,LST_Day_1km,aid0001,2023-05-09,9942.0,298.98,316.76,"(298.98,316.76)",306.6144518,2.6712754,7.1357122,308.38,314.32,306.48,298.98,304.4
MYD11A2_061_LST_Day_1km_doy2023137000000_aid0001,LST_Day_1km,aid0001,2023-05-17,7857.0,286.4,308.64,"(286.4,308.64)",302.5688914,2.2368802,5.0036329,304.08,307.94,302.82,297.64,301.5
MYD11A2_061_LST_Day_1km_doy2023145000000_aid0001,LST_Day_1km,aid0001,2023-05-25,11638.0,302.24,312.98,"(302.24,312.98)",306.8435264,1.0848451,1.1768889,307.44,309.32,306.84,304.32,306.185
MYD11A2_061_LST_Day_1km_doy2023153000000_aid0001,LST_Day_1km,aid0001,2023-06-02,11507.0,299.48,310.32,"(299.48,310.32)",305.9413296,0.911247,0.8303711,306.48,308.04,305.94,303.88,305.44
MYD11A2_061_LST_Day_1km_doy2023161000000_aid0001,LST_Day_1km,aid0001,2023-06-10,223.0,298.0,305.48,"(298.0,305.48)",302.704843,2.0440419,4.1781075,304.35,305.48,303.66,298.0,301.04
MYD11A2_061_LST_Day_1km_doy2023169000000_aid0001,LST_Day_1km,aid0001,2023-06-18,7147.0,289.22,307.16,"(289.22,307.16)",300.308356,3.144013,9.8848175,302.78,307.16,300.42,290.38,297.74
MYD11A2_061_LST_Day_1km_doy2023177000000_aid0001,LST_Day_1km,aid0001,2023-06-26,1267.0,284.6,306.42,"(284.6,306.42)",299.9568587,3.6955069,13.6567715,302.56,306.42,300.12,292.0,298.18
MYD11A2_061_LST_Day_1km_doy2023185000000_aid0001,LST_Day_1km,aid0001,2023-07-04,4922.0,282.68,305.12,"(282.68,305.12)",298.1278952,2.7779831,7.7171901,300.2,305.12,298.26,290.12,296.08
MYD11A2_061_LST_Day_1km_doy2023193000000_aid0001,LST_Day_1km,aid0001,2023-07-12,8885.0,289.18,312.52,"(289.18,312.52)",302.4519572,3.3756991,11.3953444,305.14,312.52,302.34,292.54,300.04
MYD11A2_061_LST_Day_1km_doy2023201000000_aid0001,LST_Day_1km,aid0001,2023-07-20,5840.0,286.02,306.46,"(286.02,306.46)",300.6671678,2.2993912,5.2872001,302.44,306.46,300.52,294.04,299.08
MYD11A2_061_LST_Day_1km_doy2023209000000_aid0001,LST_Day_1km,aid0001,2023-07-28,4598.0,287.82,308.92,"(287.82,308.92)",302.7382036,3.1981871,10.228401,305.26,308.92,303.19,293.0,300.18
MYD11A2_061_LST_Day_1km_doy2023217000000_aid0001,LST_Day_1km,aid0001,2023-08-05,437.0,291.36,299.44,"(291.36,299.44)",294.8986728,1.6668344,2.7783369,295.62,298.02,294.74,291.76,294.02
MYD11A2_061_LST_Day_1km_doy2023225000000_aid0001,LST_Day_1km,aid0001,2023-08-13,2060.0,290.82,305.72,"(290.82,305.72)",298.5734272,2.8754662,8.2683057,300.38,304.92,299.46,292.8,297.335
MYD11A2_061_LST_Day_1km_doy2023233000000_aid0001,LST_Day_1km,aid0001,2023-08-21,2969.0,292.86,305.8,"(292.86,305.8)",301.1915797,2.2283924,4.9657328,303.08,305.8,301.12,293.86,299.38
MYD11A2_061_LST_Day_1km_doy2023241000000_aid0001,LST_Day_1km,aid0001,2023-08-29,10226.0,294.94,313.38,"(294.94,313.38)",304.7624584,2.4151266,5.8328367,306.72,312.22,304.98,297.24,302.88
