File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023004000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-04,8.0,0.2497432,0.3427233,"(0.2497432,0.3427233)",0.3062117,0.0327761,0.0010743,0.3320192,0.3427233,0.3180608,0.2497432,0.2767514
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023005000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-05,2.0,0.2910231,0.3599235,"(0.2910231,0.3599235)",0.3254733,0.0344502,0.0011868,0.3426984,0.3599235,0.3254733,0.2910231,0.3082482
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023007000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-07,14.0,0.2659468,0.4992367,"(0.2659468,0.4992367)",0.3686259,0.0643978,0.0041471,0.4038313,0.4992367,0.3638036,0.2659468,0.3269185
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023008000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-08,15.0,0.3121668,0.4798804,"(0.3121668,0.4798804)",0.3943096,0.0459124,0.002108,0.4350787,0.4798804,0.3980855,0.3121668,0.3592442
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023012000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-12,12.0,0.2994552,0.4870166,"(0.2994552,0.4870166)",0.400375,0.0618804,0.0038292,0.4578752,0.4870166,0.4036176,0.2994552,0.3388561
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023013000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-13,4.0,0.2952057,0.3788947,"(0.2952057,0.3788947)",0.3542697,0.0345048,0.0011906,0.3779139,0.3788947,0.3714891,0.3653912,0.3478448
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023015000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-15,15.0,0.242404,0.4397359,"(0.242404,0.4397359)",0.3606046,0.0568162,0.0032281,0.3945127,0.4397359,0.371052,0.242404,0.3283371
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023016000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-16,12.0,0.2904907,0.4801299,"(0.2904907,0.4801299)",0.4033537,0.0637928,0.0040695,0.4660568,0.4801299,0.4138686,0.2904907,0.3445763
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023020000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-20,12.0,0.2688805,0.4797712,"(0.2688805,0.4797712)",0.4029816,0.0661892,0.004381,0.463831,0.4797712,0.4137484,0.2688805,0.3501628
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023021000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-21,4.0,0.2936651,0.3999324,"(0.2936651,0.3999324)",0.3551216,0.0390328,0.0015236,0.3794971,0.3999324,0.3634445,0.2936651,0.339069
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023023000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-23,11.0,0.2730001,0.4868986,"(0.2730001,0.4868986)",0.3600862,0.0633512,0.0040134,0.3903364,0.4868986,0.3506201,0.2730001,0.3197054
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023024000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-24,10.0,0.312646,0.4857689,"(0.312646,0.4857689)",0.3967486,0.0676892,0.0045818,0.4702969,0.4857689,0.3822044,0.312646,0.3354205
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023028000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-28,13.0,0.2469602,0.4999006,"(0.2469602,0.4999006)",0.3752303,0.0721058,0.0051993,0.4336474,0.4999006,0.3943588,0.2469602,0.3240677
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023029000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-29,3.0,0.2671769,0.3187156,"(0.2671769,0.3187156)",0.2970891,0.021841,0.000477,0.3120451,0.3187156,0.3053747,0.2671769,0.2862758
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023031000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-01-31,14.0,0.2589349,0.4595988,"(0.2589349,0.4595988)",0.3744862,0.0654679,0.004286,0.4342245,0.4595988,0.3735952,0.2589349,0.3281429
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023032000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-01,13.0,0.2853573,0.4823474,"(0.2853573,0.4823474)",0.3957621,0.0686636,0.0047147,0.4534703,0.4823474,0.3987337,0.2853573,0.3392541
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023036000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-05,15.0,0.2377108,0.4579742,"(0.2377108,0.4579742)",0.3688489,0.0706431,0.0049905,0.424937,0.4579742,0.3926492,0.2377108,0.3132818
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023037000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-06,2.0,0.2260711,0.3235776,"(0.2260711,0.3235776)",0.2748244,0.0487533,0.0023769,0.299201,0.3235776,0.2748244,0.2260711,0.2504478
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023040000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-09,13.0,0.161775,0.4189693,"(0.161775,0.4189693)",0.3220298,0.0740915,0.0054896,0.3717947,0.4189693,0.3356574,0.161775,0.2713034
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023044000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-13,15.0,0.1891383,0.4815249,"(0.1891383,0.4815249)",0.3181432,0.0711407,0.005061,0.3551795,0.3715289,0.3261364,0.1891383,0.2745621
SPL3SMP_009_Soil_Moisture_Retrieval_Data_AM_soil_moisture_doy2023045000000_aid0001,Soil_Moisture_Retrieval_Data_AM_soil_moisture,aid0001,2023-02-14,3.0,0.2553612,0.3134984,"(0.2553612,0.3134984)",0.2871999,0.0240556,0.0005787,0.3031193,0.3134984,0.2927403,0.2553612,0.2740507
